word,tags,ipa
Micheál,,ˈmʲɪçaːlˠ
Muileann gCearr,,"ənˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ, ən̪ˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ"
Muineachán,Connacht,"ˈmˠɪnʲəxɑːnˠ, ˈmˠɪnʲəxɑːn̪ˠ"
Muire,,ˈmˠɪɾʲə
Muiris,,ˈmˠiɾʲəʃ
Muirís,,ˈmˠɪɾʲiːʃ
Mumhain,,mˠuːnʲ
Mumhan,,mˠuːnˠ
Máire,Munster; Connacht,ˈmˠɑːɾʲə
Máirt,,mˠaːɾˠtʲ
Máirtín,Connacht,ˈmˠɑːɾˠtʲiːnʲ
Máiréad,Connacht,ˈmˠɑːɾʲeːd̪ˠ
Máirín,Connacht,ˈmˠɑːɾʲiːnʲ
Málta,,ˈmˠɑːl̪ˠt̪ˠə
Márta,,ˈmˠɑːɾˠt̪ˠə
Méabh,Connacht,mʲeːw
Méibhín,,ˈmʲeːvʲiːnʲ
Mí,,mʲiː
Múscraí,,mˠuːz̪ˠˈɡɾˠiː
Naoise,,ˈn̪ˠiːʃə
Nc,,"ŋk, ɲc"
Neipeailis,,ˈn̠ʲɛpʲalʲɪʃ
Niall,,n̠ʲiəl̪ˠ
Niamh,Ulster; Connacht,n̠ʲiəw
Nic,,nʲɪc
Niocláis,,ˈn̠ʲɪklˠaːʃ
Nioclás,,ˈn̠ʲɪklˠaːsˠ
Nn,,"n̠ʲ, n̪ˠ"
Nollag,Connacht,ˈn̪ˠolˠək
Nollaig,Connacht,"ˈn̪ˠolˠəc, ˈn̪ˠol̪ˠəc"
Nollaigí,,ˈn̪ˠɔl̪ˠəɟiː
Nuala,,ˈn̪ˠuːəlˠə
Nás,Munster; Connacht,ə(n̪ˠ)ˈn̪ˠɑːsˠ
Nás na Ríogh,Munster; Connacht,ˌn̪ˠɑːsˠ n̪ˠə ˈɾˠiː
Ní,,nʲiː
Ocsatánais,,"ɔksəˈtˠaːnˠɪʃ, ˈɔksətˠaːnˠɪʃ"
Odhrán,Connacht,ˈoːɾˠɑːnˠ
Oireachtas,Connacht,ˈɛɾʲəxt̪ˠəsˠ
Oisín,Connacht,ˈɔʃiːnʲ
Ollainnis,,ˈɔl̪ˠən̠ʲəʃ
Ostair,,ˈɔsˠt̪ˠəɾʲ
Oíche Inide,,ˈiːç ˈɪnʲədʲə
Parthalán,Connacht,ˈpˠɑɾˠhəlˠɑːnˠ
Peadar,,ˈpʲad̪ˠəɾˠ
Peige,,ˈpʲɛɟə
Peirs,,pʲɛɾʲʃ
Peirsis,,ˈpʲɛɾʲʃɪʃ
Ph,,"fʲ, fˠ"
Pheadair,,ˈfʲad̪ˠəɾʲ
Pheadar,,ˈfʲad̪ˠəɾˠ
Pholainn,Kerry; Connacht,ˈfˠɔlˠən̠ʲ
Pháras,Munster; Connacht,ˈfˠɑːɾˠəsˠ
Pilib,,ˈpʲɪlʲəbʲ
Polainn,Kerry; Connacht,ˈpˠɔlˠən̠ʲ
Polainnis,,ˈpˠɔl̪ˠən̠ʲɪʃ
Poncán,Connacht,"ˈpˠɔŋkɑːnˠ, ˈpˠʊŋkɑːnˠ"
Port Laoise,,pˠɔɾˠt̪ˠ ˈl̪ˠiːʃə
Port an Dúnáin,Connacht,"pˠɔɾˠt̪ˠ ə ˈd̪ˠuːnˠɑːnʲ, pˠɔɾˠt̪ˠ ə ˈd̪ˠuːn̪ˠɑːnʲ"
Protastúnach,Connacht,ˈpˠɾˠɔt̪ˠəsˠt̪ˠuːn̪ˠəx
Páidín,Connacht,ˈpˠɑːdʲiːnʲ
Páras,Munster; Connacht,ˈpˠɑːɾˠəsˠ
Pól,Munster; Connacht,pˠoːlˠ
Raeta-Rómáinsis,,"ˈɾˠeːtˠəroːˌmˠaːnʲʃɪʃ, ˌɾˠeːtˠəroːˈmˠaːnʲʃɪʃ"
Rinne,,ˈɾˠɪn̠ʲə
Risteard,,ˈɾˠɪʃˌtʲɑːɾˠd̪ˠ
Rián,,ˈɾˠiː.ɑːnˠ
Roibeárd,Connacht,ˈɾˠɛbʲɑːɾˠd̪ˠ
Ros Comáin,,ɾˠɔsˠ ˈkʊmˠɑːnʲ
Rosa,Munster; Connacht,ˈɾˠɔsˠə
Ruadhán,Connacht,ˈɾˠuːɑːnˠ
Ruairí,,ˈɾˠuəɾʲiː
Róimh,,ˈɾˠõːvʲ
Róimhe,,ˈɾˠõːvʲə
Róis,,ɾˠoːʃ
Róisín,Connacht,ˈɾˠoːʃiːnʲ
Rómáinis,Connacht,ˈɾˠoːmˠɑːnʲəʃ
Rónán,Connacht,ˈɾˠoːnˠɑːnˠ
Rúis,,ɾˠuːʃ
Rúise,,ˈɾˠuːʃə
Rúisis,,ˈɾˠuːʃəʃ
SEIF,,ʃɛfʲ
Sabóid,Connacht,ˈsˠabˠoːdʲ
