,tags,ipa,word,region
2,Mayo,/ˈd̪ˠiːɾˠuː/,daoradh,Connacht
3,Ulster,/ˈd̪ˠiːɾˠu/,daoradh,Ulster
4,Munster,/ˈd̪ˠeːɾˠəɡ/,daoradh,Munster
5,Galway,/ˈd̪ˠiːɾˠəvˠ/,daoradh,Connacht
6,Munster,/ˈd̪ˠeːɾˠəx/,daoradh,Munster
7,Galway,/ˈd̪ˠiːɾˠətʲ/,daoradh,Connacht
8,Galway,/ˈd̪ˠiːɾˠəx/,daoradh,Connacht
9,Mayo,/ˈd̪ˠiːɾˠətʲ/,daoradh,Connacht
10,Mayo,/ˈd̪ˠiːɾˠuː/,daoradh,Connacht
11,Ulster,/ˈd̪ˠiːɾˠətʲ/,daoradh,Ulster
12,Ulster,/ˈd̪ˠiːɾˠu/,daoradh,Ulster
0,Aran,/ˈdʲɪhəsˠ/,d'fhíos,Connacht
0,Munster,/ɑːɾˠəʃˈtʲiː/,áraistí,Munster
0,Connacht,/ˈfʲiːbʲiːnʲ/,fíbín,Connacht
0,Connacht,/ˈfʲiːxɑːnˠ/,fíochán,Connacht
1,Connacht,/ˈfʲiːxɑːn̪ˠ/,fíochán,Connacht
0,Ulster,/ˈsˠoːmˠəsˠ/,sámhas,Ulster
0,Ulster,/ˈsˠoːmˠəsˠax/,sámhasach,Ulster
0,Ulster,/ˈtʲɪl̠ʲəmˠiː/,tuilleamaí,Ulster
0,Ulster,/əˈdʲɪl̠ʲəmˠiː/,i dtuilleamaí,Ulster
0,Ulster,/ˈtʲɪl̠ʲəmˠia(x)/,tuilleamaíoch,Ulster
0,Munster,/uːˈl̪ˠoːdʲ/,umhlóid,Munster
1,Ulster,/ˈuːmˠəlˠædʲ/,umhlóid,Ulster
2,Ulster,/ˈuːmˠəl̪ˠædʲ/,umhlóid,Ulster
0,Munster,/ˈkɾˠɑumˠhə/,cromfaidh,Munster
1,Ulster,/ˈkɾˠʌmˠhə/,cromfaidh,Ulster
0,,/ˈbˠɾˠɑʃtʲənʲtʲ/,braistint,
0,Munster,/tʲiːˈɾˠoːdʲəx/,tíoróideach,Munster
1,Connacht,/ˈtʲiːɾˠoːdʲəx/,tíoróideach,Connacht
2,Ulster,/ˈtʲiːɾˠɔdʲa(x)/,tíoróideach,Ulster
0,Munster,/mˠɪnʲəˈxɑːn̪ˠ/,Muineachán,Munster
1,Connacht,/ˈmˠɪnʲəxɑːnˠ/,Muineachán,Connacht
2,Connacht,/ˈmˠɪnʲəxɑːn̪ˠ/,Muineachán,Connacht
3,Ulster,/ˈmˠɪnʲaxanˠ/,Muineachán,Ulster
4,Ulster,/ˈmˠɪnʲaxan̪ˠ/,Muineachán,Ulster
0,Munster,/əˌnʲiəɾˠˈvʲiː/,Iarmhí,Munster
1,Connacht; Ulster,/əˌn̠ʲiəɾˠˈvʲiː/,Iarmhí,Connacht; Ulster
0,Munster,/ˌiːvʲ aˈlʲiː/,Uíbh Fhailí,Munster
1,Connacht; Ulster,/ˌiːvʲ ˈalʲiː/,Uíbh Fhailí,Connacht; Ulster
0,Munster,/ˌciːlʲ vˠɑn̪ˠˈt̪ˠɑːnʲ/,Cill Mhantáin,Munster
1,Galway,/ˌciːl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ/,Cill Mhantáin,Connacht
2,Mayo,/ˌcɪl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ/,Cill Mhantáin,Connacht
3,Ulster,/ˌcɪl̠ʲ ˈwan̪ˠt̪ˠænʲ/,Cill Mhantáin,Ulster
0,Munster,/ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ/,Dún Dealgan,Munster
1,Munster,/ˌd̪ˠuːnʲ ˈdʲal̪ˠəɡən̪ˠ/,Dún Dealgan,Munster
2,Connacht; Ulster,/ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ/,Dún Dealgan,Connacht; Ulster
3,Connacht; Ulster,/ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ/,Dún Dealgan,Connacht; Ulster
4,Connacht; Ulster,,Dún Dealgan,Connacht; Ulster
5,Connacht; Ulster,,Dún Dealgan,Connacht; Ulster
0,Munster,/sˠoːɾˠd̪ˠ/,Sord,Munster
1,Connacht,/sˠauɾˠd̪ˠ/,Sord,Connacht
2,Ulster,/sˠɔːɾˠd̪ˠ/,Sord,Ulster
0,Munster,/ˌsˠoːɾˠd̪ˠ xɔl̪ˠəm ˈcɪlʲə/,Sord Cholm Cille,Munster
1,Connacht,/ˌsˠauɾˠd̪ˠ xɔlˠəm ˈcɪl̠ʲə/,Sord Cholm Cille,Connacht
2,Connacht,/ˌsˠauɾˠd̪ˠ xɔl̪ˠəm ˈcɪl̠ʲə/,Sord Cholm Cille,Connacht
3,Ulster,/ˌsˠɔːɾˠd̪ˠ xɔlˠəm ˈcɪl̠ʲə/,Sord Cholm Cille,Ulster
4,Ulster,/ˌsˠɔːɾˠd̪ˠ xɔl̪ˠəm ˈcɪl̠ʲə/,Sord Cholm Cille,Ulster
0,,/əˈn̪ˠuəvʲ/,Uaimh,
0,,/bʲɾʲeː/,Bré,
0,,/iːvʲ/,Uíbh,
0,,/ˈɪnʲɪʃ/,Inis,
0,Connacht; Munster,/ə(n̪ˠ)ˈn̪ˠɑːsˠ/,Nás,Connacht; Munster
1,Ulster,/ə(n̪ˠ)ˈn̪ˠaːsˠ/,Nás,Ulster
0,Connacht; Munster,/ˌn̪ˠɑːsˠ n̪ˠə ˈɾˠiː/,Nás na Ríogh,Connacht; Munster
1,Ulster,/ˌn̪ˠaːsˠ n̪ˠə ˈɾˠiː/,Nás na Ríogh,Ulster
0,Munster,/t̪ˠɾˠɑː ˈlʲiː/,Trá Lí,Munster
1,Connacht,/t̪ˠɾˠɑː ˈl̠ʲiː/,Trá Lí,Connacht
2,Ulster,/t̪ˠɾˠaː ˈl̠ʲiː/,Trá Lí,Ulster
0,Cork,/ˌd̪ˠɾˠʌhəd̪ˠ ˈn̪ˠoː/,Droichead Nua,Munster
1,Kerry,/ˌd̪ˠɾˠʌhəd̪ˠ ˈn̪ˠuə/,Droichead Nua,Munster
2,Connacht,/ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː/,Droichead Nua,Connacht
3,Connacht,/ˌd̪ˠɾˠəid̪ˠ ˈn̪ˠuː/,Droichead Nua,Connacht
4,Ulster,/ˌd̪ˠɾˠɛçəd̪ˠ ˈn̪ˠuː/,Droichead Nua,Ulster
0,Munster,/ˌbˠalʲə bʲɾʲɪˈɟiːnʲ/,Baile Brigín,Munster
1,Connacht,/ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ/,Baile Brigín,Connacht
2,Connacht,/ˌbˠalə ˈbʲɾʲɪɟiːnʲ/,Baile Brigín,Connacht
3,Connacht,/ˌbˠælə ˈbʲɾʲɪɟiːnʲ/,Baile Brigín,Connacht
4,Ulster,/ˌbˠælʲə ˈbʲɾʲɪɟiːnʲ/,Baile Brigín,Ulster
5,Ulster,/ˌbˠɛlʲə ˈbʲɾʲɪɟiːnʲ/,Baile Brigín,Ulster
0,Connacht; Munster,/ˌbʲlʲɑː ˈl̪ˠuənʲ/,Baile Átha Luain,Connacht; Munster
1,Ulster,/ˌbʲlʲaː ˈl̪ˠuənʲ/,Baile Átha Luain,Ulster
