word,tags,ipa
mochóiríoch,Cork,mˠəˈxoːɾʲiːx
diaspóra,Connacht,ˈdʲiəsˠpˠoːɾˠə
cár,Ulster,kaːɾˠ
damhán,Ulster,"ˈd̪ˠawanˠ, ˈd̪ˠawan̪ˠ"
mion,Munster,mʲɨn̪ˠ
plátaí,Connacht,ˈpˠlˠɑːt̪ˠiː
aireachtáil,Mayo,ˈaɾʲəxt̪ˠɑːlʲ
lasmuigh,Munster,l̪ˠasˠˈmˠɪɟ
feirge,,ˈfʲɛɾʲɪɟɪ
buaine,Munster; Connacht,ˈbˠuənʲə
tosaigh,Ulster,ˈt̪ˠʌsˠi
damhsa,dated,ˈd̪ˠə̃ũsˠə
naonúr,Connacht,ˈn̪ˠiːnˠuːɾˠ
magadh,Munster,ˈmˠɑɡə
sútra,,ˈsˠuːt̪ˠɾˠə
dhíotsa,,ˈjiːt̪ˠsˠə
déanann,Aran,"ˈdʲeːnən̪ˠ, ˈdʲiːnən̪ˠ"
bruith,Cois-Fharraige,bˠɾˠʊ
miotóg,Connacht,ˈmʲɪt̪ˠoːɡ
agat,Munster,"əˈɡut̪ˠ, əˈɡɑt̪ˠ, əˈɣɑt̪ˠ"
bailím,Aran,ˈbˠaliːmʲ
molfaidh,Ulster,"ˈmˠʌlˠhi, ˈmˠʌlˠhə, ˈmˠʌl̪ˠhə"
ceathrú,Munster,"cahəˈɾˠuː, caɾˠˈhuː"
scoláireacht,Connacht,ˈsˠkɔlˠɑːɾʲəxt̪ˠ
ciníocha,Munster,cɪˈnʲiːxə
dream,Ulster; Connacht,dʲɾʲamˠ
fulang,Kerry; Munster; Cork,ˈfˠol̪ˠəɡ ~ ˈfˠul̪ˠəɡ
seilbhe,,ˈʃɛlʲəvʲə
lúbaire,,ˈl̪ˠuːbˠəɾʲə
boladh,Kerry,"bˠl̪ˠa(h), bˠəˈl̪ˠɑh ~ bˠl̪ˠɑh"
dóigh,Ulster,d̪ˠoːj
lá saoire,Munster,ˈl̪ˠɑː ˈsˠiːɾʲə
trach,,t̪ˠɾˠɑx
tógtar,,ˈt̪ˠoːkt̪ˠəɾˠ
liacht,,l̠ʲiəxt̪ˠ
scrábán,Connacht,ˈsˠkɾˠɑːbɑːnˠ
saothrú,Cois-Fharraige,ˈsˠiːɾˠuː
tuirse,,ˈt̪ˠʊɾˠʃə
gliogaire,,ˈɟlʲɯɡəɾʲə
ghním,Connacht,n̠ʲiːmʲ
faigh,,fˠəi
ucht,Connacht,ɔxt̪ˠ
annamh,Ulster,ˈan̪ˠũ
paráiste,Ulster,ˈpˠaɾˠæʃtʲə
teoiric,Munster; Connacht,ˈtʲoːɾʲɪc
caillte,Mayo,ˈkalʲtʲiː
slog,Munster,"sˠl̪ˠoɟ, sˠl̪ˠɔɡ"
gol,Munster; Connacht,ɡɔl̪ˠ
cathaoirleach,Cois-Fharraige,ˈkaiɾˠl̠ʲəx
cleachtadh,Mayo; Ulster,ˈclʲaxt̪ˠətʲ
duine,Ulster; Munster; Connacht,ˈd̪ˠɪnʲə
crann,Cois-Fharraige; Aran,kɾˠɑːn̪ˠ
raibh,Ulster,ɾˠo(h)
foláir,Cois-Fharraige,fʲlʲɑːɾˠ
míol-luibh,Ulster,ˈmʲiəl̪ˠɨ̞vʲ
treabh,Connacht,ˈtʲɾʲəu
corradh,Ulster,ˈkɔɾˠu
roithleán,Ulster,"ˈɾˠɨ̞hlʲanˠ, ˈɾˠɨ̞hlʲan̪ˠ"
caora,Ulster; Munster; Connacht,ˈkiːɾˠə
cailce,,ˈkalʲcə
aistrím,Munster,aʃˈtʲɾʲiːmʲ
agus,Ulster; Mayo; Aran; Connemara; Munster,"əɡəsˠ, ɡəsˠ"
fána,Ulster,"ˈfˠaːnˠə, ˈfˠaːn̪ˠə"
Bairbre,,ˈbˠaɾʲəbʲɾʲə
laistiar,,l̪ˠaʃˈtʲiəɾˠ
aneas,Ulster,"(ə)ˈn̠ʲasˠ, (ə)ˈn̠ʲɛsˠ"
gil,,ɟɪlʲ
oblátach,Connacht,ˈɔbˠlˠɑːt̪ˠəx
gealbhan,Munster,ɟəˈl̪ˠuːn̪ˠ
oibriú,Mayo,ˈɛbʲɾʲuː
ar dtús,,əɾˠˈd̪ˠuːsˠ
dronuilleog,Ulster,ˈd̪ˠɾɔnˠˌɪl̠ʲaɡ
scuabadh,Galway; Munster,ˈsˠkuəbˠə
domlas,Munster,ˈd̪ˠumˠəlˠəsˠ ~ ˈd̪ˠomˠəlˠəsˠ
áibhéis,Ulster,ˈaːvʲɛʃ
ionadh,Mayo,"ˈiːnˠuː, ˈiːn̪ˠuː"
gnóthaigh,Ulster,ɡɾˠõːj
bagún,Ulster,ˈbˠaɡunˠ
mamach,Ulster,ˈmˠamˠa(x)
croch,Ulster,kɾˠʌx
id,,ɪd̪ˠ
sop,Munster,sˠɞpˠ
admhaím,Munster,ɑd̪ˠəˈvˠiːmʲ
inar,,ˈɪnˠəɾˠ
díchiall,Munster,ˌdʲiːˈceːlʲə
fataí,Connacht,"ˈfˠat̪ˠiː, ˈfˠɑt̪ˠiː"
cóireáil,Connacht,ˈkoːrʲɑːlʲ
carbón,Munster,kəɾˠ(ə)ˈbˠoːn̪ˠ
srathnaigh,Galway,"ˈsˠɾˠahnˠə, ˈsˠɾˠahn̪ˠə"
raon,Munster,ˈɾˠeːn̪ˠ
Th,,h
Francach,Ulster,ˈfˠɾˠaŋka(h)
beag,Munster; Connacht,bʲɞɡ
fichead,Aran; Ulster; Munster,ˈfʲɪhəd̪ˠ
sáith,Ulster,"sˠaːç, sˠaːi̯ç"
dathúil,Cois-Fharraige,"d̪ˠəulʲ, ˈd̪ˠahuːlʲ, ˈd̪ˠauːlʲ"
cion,Munster,cun̪ˠ
cruaidh,Munster,"kɾˠuəɟ, kɾˠuɛ̯ɟ"
lear,,l̠ʲaɾˠ
toisc,Munster,t̪ˠɔʃc
chaoirigh,Ulster,ˈxiːɾʲi
