,word,tags,ipa,results
3715,gloine,,"ˈɡlˠɪnʲə, ˈɡl̪ˠɪnʲə",gl̪ɔn̪ə
3718,gluaisim,Connacht,ˈɡlˠuəʃəmʲ,gl̪uaiʃimʲ
3723,gléas,Ulster; Connacht,"ɟlʲeːsˠ, ɟlʲɛːə̯sˠ",gl̪asˠ
3724,gléasaim,,ˈɟlʲeːsˠəmʲ,gl̪asˠimʲ
3725,gléasaimid,,ˈɟlʲeːsˠəmʲədʲ,gl̪asˠəmʲədʲ
3726,gléasann,,ˈɟlʲeːsən̪ˠ,gl̪asˠən̪ˠ
3728,gléasta,,ˈɟlʲeːsˠt̪ˠə,gl̪asˠt̪ə
3730,glóire,Munster; Connacht,ˈɡlˠoːɾʲə,gl̪ɛɾʲi
3732,glór,Munster; Connacht,ɡl̪ˠoːɾˠ,gl̪ʊɾˠ
3733,glúin,,"ɡlˠuːnʲ, ɡl̪ˠuːnʲ",gl̪ɪn̪
3736,glún,Ulster; Munster; Connacht,ɡl̪ˠuːn̪ˠ,gl̪ʊn̪
3735,glún,Ulster; Connacht,ɡlˠuːnˠ,gl̪ʊn̪
3737,gnách,Connacht,"ɡnˠɑːx, ɡɾˠɑːx",gɾˠax
3740,gnáth,Connacht,"ɡnˠɑː, ɡɾˠɑː",gɾˠa
3739,gnáth,,,gɾˠa
3741,gnéas,,"ɟnʲeːsˠ, ɟɾʲeːsˠ",gɾʲ'asˠ
3743,gníomh,Ulster; Connacht,ɟɾʲĩːw,gɾʲ'ɪoː
3742,gníomh,Connacht,ɟɾʲiːvˠ,gɾʲ'ɪoː
3744,gníomhaí,,ˈɡnʲiːwiː,gɾʲ'ɪvʲi
3745,gníomhaíocht,Connacht,ˈɡɾˠiːwiəxt̪ˠ,gɾʲ'ɪvʲiəxt̪
3746,gnó,Connacht,"ɡnˠoː, ɡnˠuː, ɡɾˠoː, ɡɾˠuː",gɾˠʊ
3747,go,,"ɡɔ, ɡə",gʊ
3749,go deo,Munster; Connacht,ɡə ˈdʲoː,gʊ dʲoː
3751,go dtí go,,ɡə ˈdʲiː ɡə,gʊ d̪ɪ gʊ
3752,go dtí gur,,ɡə ˈdʲiː ɡəɾˠ,gʊ d̪ɪ gɔɾˠ
3753,go fóill,Munster; Connacht,ɡəˈfˠoːl̠ʲ,gʊ fˠoil̠ʲ
3756,go leor,Ulster; Munster; Connacht,ɡəˈl̠ʲoːɾˠ,gʊ l̪oːɾˠ
3757,go raibh maith agaibh,,"ɡərəmˠəˈhaɡəvʲ, ɡərəˈmˠahəɡəvʲ",gʊ ɾˠaiː mˠaiç agəː
3759,gob,Munster; Connacht,ɡɔbˠ,gʊbˠ
3761,gobtha,,ˈɡɔpˠə,gʊbˠhʊ̽
3762,god é,,ɡəˈd̪ˠeː,gʊd̪ ɛ
3763,goib,,ɡɪbʲ,gɛbʲ
3764,goid,Connacht,ɡɞdʲ,gɛdʲ
3765,goideann,,ˈɡɛdʲən̪ˠ,gɛdʲən̪ˠ
3766,goidim,Connacht,ˈɡɞdʲəmʲ,gɛdʲimʲ
3767,goidte,Connacht,ˈɡɞtʲə,gɛdʲi
3769,goil,,"ɡɔlʲ, ɡɛlʲ",gɔl̪
3770,goileann,,ˈɡɛlʲən̪ˠ,gɔl̪ən̪ˠ
3772,goilliúnach,Connacht,ˈɡɔl̠ʲuːnˠəx,gɔl̠ʲəən̪əx
3773,goilte,,ˈɡɛlʲtʲə,gɛltʲi
