tags,ipa,word,tags_
,/d̪ˠɾˠaɟ/,draig,
Connacht Irish; Munster Irish,/sˠoː/,só,
Ulster Irish,/sˠɔː/,só,
Ulster Irish,/ˈelʲə/,aile,
Ulster Irish,/ˈɨlʲə/,aile,
Munster Irish,/ˈɾˠɑɡə/,raga,
,/bˠaŋk/,banc,
Munster Irish,/bˠɑʊŋk/,banc,
Connacht Irish,/bʲæŋk/,banc,
,/ˈbˠan̪ˠd̪ˠə/,banda,
,/ˈbˠaɾˠə/,barra,
,/sˠiː/,suí,
,/ˈd̪ˠɔn̪ˠə/,donna,
,/ˈd̪ˠʊn̪ˠə/,donna,
,/bʲɾʲɪʃ/,bris,
,/ˈal̪ˠt̪ˠə/,alta,
,/ˈɔɾˠkə/,orca,
,/əsˠ/,-as,
,/ˈɟɪnʲ/,gin,
,/ʃcax/,sceach,
,/kɛɾʲ/,coir,
Ulster Irish,/kɪɾʲ/,coir,
Connacht Irish; Munster Irish,/bʲɞɡ/,beag,
Ulster Irish,/bʲɨ̞ɡ/,beag,
,/al̪ˠt̪ˠ/,alt,
,[ˈɑːɾˠd̪ˠ ˈɛɕ],Ard-Fheis,
Connacht Irish; Munster Irish,[ˈɡeːl̪ˠt̪ˠəxt̪ˠ],Gaeltacht,
Ulster Irish,[ˈɡeːl̪ˠt̪ˠaxt̪ˠ],Gaeltacht,
,/ɡɾˠɑː/,grá,
,/ɡɾˠaː/,grá,
Ulster Irish; ,/ɡɾˠaːj/,grá,
Ulster Irish; ,/ɡɾˠaːw/,grá,
Munster Irish,/lʲɑuɾˠ/,leabhar,
Connacht Irish,/l̠ʲəuɾˠ/,leabhar,
Ulster Irish,/l̠ʲoːɾˠ/,leabhar,
,/ˈɪʃcɪ ˈbʲahə/,uisce beatha,
,/ˈcuːnˠəsˠ/,ciúnas,
,[ɟnʲeːsˠ],gnéas,
,[ɟɾʲeːsˠ],gnéas,
Munster Irish,/ˈbˠuəxəlʲ/,buachaill,
Connacht Irish,/ˈbˠuəxəl̠ʲ/,buachaill,
Connacht Irish,/ˈbˠɔxəl/,buachaill,
Ulster Irish,/ˈbˠɔxəl̠ʲ/,buachaill,
,/ˈiʃcə/,uisce,
,[ˈiʃcɪ],uisce,
Connacht Irish,/ˈbˠɑl̪ˠə/,balla,Connacht Irish; Ulster Irish
Connacht Irish; Connacht Irish; Ulster Irish,/ˈbˠal̪ˠə/,balla,Connacht Irish; Ulster Irish
Connacht Irish; Munster Irish,/ˈmʲinʲ/,min,
Ulster Irish,/ˈmʲɨnʲ/,min,
Connacht Irish; Munster Irish,/ɡɑl̪ˠ/,gal,
Connacht Irish; Connacht Irish; Ulster Irish,/ɡalˠ/,gal,
Connacht Irish; Connacht Irish; Ulster Irish,/ɡal̪ˠ/,gal,
Ulster Irish,/sˠmˠʌɡ/,smug,Ulster Irish
,[kɛlʲ],coil,
Munster Irish,/(ə)mˠəˈd̪ˠɑːn̪ˠ/,amadán,
Munster Irish,/ˌɑmˠəˈd̪ˠɑ̃ːn̪ˠ/,amadán,
Connacht Irish; Connacht Irish,/ˈamˠəd̪ˠɑːn̪ˠ/,amadán,
Connacht Irish,/ˈamˠəd̪ˠɑːnˠ/,amadán,
Connacht Irish; Connacht Irish,[ˈaːmˠəd̪ˠɑːn̪ˠ],amadán,
Connacht Irish; Connacht Irish,/ˈamˠəd̪ˠaːnˠ/,amadán,
Connacht Irish,/ˈumˠəd̪ˠaːnˠ/,amadán,
Ulster Irish,/ˈamˠəd̪ˠan̪ˠ/,amadán,
