tags	ipa	word
Connacht ; Munster 	/ɛɾʲ ˈfˠɑd̪ˠ/	ar fad
Connacht 	/ˈd̪ˠuːnˠəx/	dúnadh
Connacht 	/ˈʃiəbˠəx/	siabadh
Connacht 	/ˈcapˠuː/	ceapadh
Connacht 	/ˈbˠl̪ˠɔɡəmˠ/	bolgam
Connacht 	/ˈt̪ˠiːd̪ˠoːɾʲ/	tuíodóireacht
Connacht 	/oːtʲ/	-ódh
Connacht 	/ˈbʲɾʲabˠuː/	breabadh
Connacht ; Munster 	/ˈbʲɛɾʲəmʲ/	beirim
Connacht 	/ˈcɾʲiəxn̪ˠiːmʲ/	críochnaím
Connacht 	/t̪ˠɾˠɑː/	tráth
Connacht 	/ˈʃɪlʲuː/	sileadh
Connacht ; Munster 	/fˠɑːɡ/	fág
Connacht ; Munster 	/ˈd̪ˠɔnˠəsˠəx/	donasach
Connacht 	/ˈd̪ˠawɑːn̪ˠ/	damhán
Connacht 	/ˈd̪ˠahuːlʲ/	dathúil
Connacht 	/ˈmˠuːn̪ˠəx/	múnadh
Connacht 	/ɾˠiːn̠ʲtʲ/	roinnt
Connacht ; Ulster 	/sˠn̪ˠasˠ/	snas
Connacht ; Munster 	/ˈtʲaŋɡə/	teanga
Connacht 	/ˈdʲiəɾˠə/	d'fhiafraigh
Connacht 	[ˈsˠkɑːn̠ˠt̠͡ɹ̝ˠuː]	scanrú
Connacht 	/ˈɔbˠlˠɑːt̪ˠəx/	oblátach
Connacht ; Ulster 	/kɾˠʊ(h)/	cruth
Connacht ; Ulster 	/bˠɪmʲ/	boim
Connacht 	/ˈfʲɛcəx/	feiceadh
Connacht ; Ulster 	/bʲɾʲeːɡ/	bréag
Connacht 	/ˈn̪ˠiːsˠkəx/	naoscach
Connacht ; Munster 	/sˠkɑfˠə/	scafa
Connacht 	/ɡlˠiː/	glaodh
Connacht 	/ˈkɪvʲɾʲiː/	cuibhrigh
Connacht ; Ulster 	/ɟeːɡ/	géag
Connacht ; Ulster 	/d̪ˠlˠuː/	dlúth
Connacht 	/ɾˠoːˈɣɔl̠ʲuːnˠəx/	róghoilliúnach
Connacht 	/l̠ʲah/	leath
Connacht 	[ˈdʲɛʃiː]	deisigh
Connacht ; 	/l̠ʲeː/	léigh
Connacht 	/ˈʃiːnʲuː/	síneadh
Connacht 	/ˈkanˠɑːlʲ/	canáil
Connacht 	/ˈpˠoːɡuː/	pógadh
Connacht ; Connacht 	/ˈhanʲic/	chonaic
Connacht ; Munster 	/ˈɛɾʲəxt̪ˠəsˠ/	oireachtas
Connacht ; Munster 	/klˠiːvˠxɾˠʊhəx/	claíomhchruthach
Connacht 	/ˈt̪ˠɾˠɞbˠloːdʲ/	trioblóid
Connacht 	/ˈæsˠpˠoːɡ/	easpag
Connacht ; Ulster 	/ˈkuːɾʲiəl̪ˠt̪ˠə/	cúirialta
Connacht 	/ˈdʲiːn̪ˠən̪ˠ/	déanann
Connacht 	/t̪ˠɾˠeː/	troithe
Connacht 	/ˈl̪ˠan̪ˠəx/	lannach
Connacht 	/ˈkɔxɑːnˠ/	cochán
Connacht 	/ˈaʃtʲɾʲuː/	aistriú
Connacht 		líonadh
Connacht 	/ˈsˠiːɾˠuː/	saoradh
Connacht ; Munster 	/ˈd̪ˠɪnʲə/	duine
Connacht 	/ˈsˠt̪ˠɾˠæːnʲʃeːɾˠə/	strainséara
Connacht 	/ˈl̪ˠɑːɾʲ/	láthair
Connacht 	/ˈbʲɾʲɛhuːnˠəsˠ/	breithiúnas
Connacht 	/ˈɾˠivʲə/	roimhe
Connacht 	/ˈɟɛlɑːn/	gealán
Connacht ; Ulster 	/ˈaʃɪc/	aisig
Connacht 	/cɛˈxiː/	cén chaoi
Connacht 	[ˈt̪ˠɑːwəxt̪ˠəx]	tábhachtach
Connacht ; Ulster 	/ˈeːl̠ʲiːnʲ/	éillín
Connacht 	/ˈd̪ˠɔnˠə/	dona
Connacht ; Ulster 	/mˠəɾˠ jal̪ˠ eɾʲ/	mar gheall ar
Connacht ; Munster 	/ˈboːhəɾʲ/	bóthair
Connacht ; Munster 	/ˈtʲɛfʲəx/	teifeach
Connacht 	/ˈat̪ˠɾˠəbˠ/	eatarthu
Connacht 	/ˈfʲiəɾˠətʲ/	fiaradh
Connacht ; Munster 	/bˠɑuɾˠ/	bodhar
Connacht 	/ˈfˠɑt̪ˠə/	fata
Connacht 	/ˈe(ː)ɾʲiː/	éirí
Connacht ; Ulster 	/ˈl̠ʲɛʃcɪ/	leisce
Connacht 	/ˈt̪ˠɔsˠiː/	tosaigh
Connacht ; Munster 	/ˈɾˠɔsˠə/	Rosa
Connacht 	[ˈmˠapˠiː]	mapaí
Connacht 	/ˈɑːtʲiː/	áití
Connacht 	[ˈpʲɛctʲuːɾˠ]	peictiúr
Connacht 	/ˈbʲɛɾʲiː/	beirigh
Connacht 	/ˈhaɾˠəʃ/	thairis
