word,tags,ipa,results
Gael,,"ɡeːlˠ, ɡeːl̪ˠ",ɟeːl̪
Gaelach,Connacht,ˈɡeːlˠəx,ɟeːl̪əx
Gaelach,Munster; Connacht,ˈɡeːl̪ˠəx,ɟeːl̪əx
Gaeltacht,Munster; Connacht,ˈɡeːl̪ˠt̪ˠəxt̪ˠ,ɟeːl̪t̪əkht̪
Garda,Munster; Connacht,ˈɡɑːɾˠd̪ˠə,gaɾˠd̪ə
Garda Síochána,Connacht,"ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːnˠə, ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːn̪ˠə",gaɾˠd̪ə sˠɪkhən̪ə
Gardaí,Connacht,ˈɡɑːɾˠd̪ˠiː,gardʲi
Gearmáinis,Connacht,ˈɟaɾˠəmˠɑːnʲɪʃ,ɟærmʲən̪iʃ
Gearóid,Connacht,ˈɟaɾˠoːdʲ,ɟæɾʲidʲ
Gh,,"j, ɟ, ɣ",g
Ghaelach,Connacht,ˈɣeːlˠəx,ɟçeːl̪əx
Ghaelach,Munster; Connacht,ˈɣeːl̪ˠəx,ɟçeːl̪əx
Giúdach,Munster; Connacht,ˈɟuːd̪ˠəx,ɟɪəd̪əx
Gráinne,Connacht,ˈɡɾˠɑːn̠ʲə,gɾʲain̪n̪ə
Gréigis,,ˈɟɾʲeːɟɪʃ,gɾʲɛɟiʃ
Haváis,,"haˈwaːɪʃ, ˈhawaːɪʃ",həuiʃ
Iacób,,ˈiəkoːbˠ,iəkəbˠ
Iarmhí,Ulster; Connacht,əˌn̠ʲiəɾˠˈvʲiː,iərmʲçi
Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ",ɪdʲiɾʲl̪ən̪
Imánál,,ɪˈmˠɑːn̪ɑːl̪ˠ,ɪmˠən̪əl̪
India,,ˈɪnʲdʲiə,ɪndʲi
Indiacha,Connacht,ˈinʲiəxə,ɪndʲəkhə
Inid,,ˈɪnʲədʲ,ɪn̪idʲ
Inide,,ˈɪnʲədʲə,ɪn̪idʲi
Inis,,ˈɪnʲɪʃ,ɪn̪iʃ
Inis Meáin,,ˌɪnʲəʃ ˈmʲɑːnʲ,ɪn̪iʃ mʲain̪
Iodáil,Connacht,ˈɪd̪ˠɑːlʲ,ɪdʲəl̪
Iodáilis,,"ɪˈdˠaːlʲɪʃ, ˈɪdˠaːlʲɪʃ",ɪdʲəl̪iʃ
Iorua,Ulster; Connacht,ˈɪɾˠuə,ɪɾˠə
Iúil,,uːlʲ,ɪəl̪
Iúr,Ulster; Connacht,ən̠ʲˈtʲuːɾˠ,ɪəɾˠ
Laighin,,l̪ˠəinʲ,l̪aiɟçən̪
Laoghaire,Ulster; Connacht,ˈl̪ˠiːɾʲə,l̪aiɟçiɾʲi
Laois,,l̪ˠiːʃ,l̪aiʃ
Laoise,,ˈl̪ˠiːʃə,l̪aiʃi
Latharna,,ˈl̪ˠahəɾˠn̪ˠə,l̪at̪həɾˠn̪ə
Leitir Ceanainn,Ulster; Connacht,"ˌl̠ʲɛtʲəɾʲ ˈcanˠən̠ʲ, ˌl̠ʲɛtʲəɾʲ ˈcan̪ˠən̠ʲ",l̪ɛtʲiɾʲ cɑn̪əən̠ʲ
Liam,,l̠ʲiəmˠ,l̪iəmˠ
Liatroim,,ˈl̠ʲiət̪ˠɾˠəmʲ,l̪iətɾʲimʲ
Life,,l̠ʲɪfʲə,l̪ɪfʲi
Ll,,"l̠ʲ, l̪ˠ",l̪l̪
Loch Garman,,"ˌl̪ˠɔx ˈɡaɾˠəmˠənˠ, ˌl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ",l̪ʊk gaɾˠmˠən̪
Lorgain,,ˈl̪ˠɔɾˠəɡənʲ,l̪ʊrɟʊ̽n̪
Luan,,"l̪ˠuənˠ, l̪ˠuən̪ˠ",l̪uan̪
Luan Cásca,Connacht,ˌl̪ˠuənˠ ˈkɑːsˠkə,l̪uan̪ kasˠkə
Luan Cásca,Munster; Connacht,ˌl̪ˠuən̪ˠ ˈkɑːsˠkə,l̪uan̪ kasˠkə
Luimneach,,ˈl̪ˠɪmʲənʲəx,l̪ɪmʲn̪əx
Lá Fhéile,,ˌl̪ˠɑː ˈeːlʲə,l̪a fʲçɛl̪ə
Lá Fhéile Pádraig,,ˌl̪ˠɑː ˌeːlʲə ˈpˠɑːɾˠɪc,l̪a fʲçɛl̪ə pˠadɾʲiɟ
Lúnasa,,ˈl̪ˠuːn̪ˠəsˠə,l̪ʊn̪ʊ̽sˠʊ̽
Macha,,ˈmˠaxə,mˠakhə
Malaeis,,"mˠaˈlˠeːɪʃ, ˈmˠalˠeːɪʃ",mˠal̪eːiʃ
Manainnis,,ˈmˠanˠən̠ʲɪʃ,mˠan̪ən̪n̪iʃ
Maoldúin,Connacht,ˈmˠiːl̪ˠd̪ˠuːnʲ,mˠaəl̪d̪ən̪
Meicsiceo,,"ˈmɛk.sɪ.koː, ˈmʲɛc.ʃɪ.coː",mʲɛcʃicoː
Meireacá,Connacht,ˈmʲɛɾʲəkɑː,mʲɛɾʲəkə
Meiriceá,Connacht,ˈmʲɛɾʲəcɑː,mʲɛɾʲici
Meán Fómhair,,ˌmʲɑːn̪ˠ ˈfoːwəɾʲ,mʲɑn̪ fˠɛmʲçiɾʲ
Mh,,"vʲ, w",m
Mhacha,,ˈwaxə,mˠhakhə
Mhuire,Ulster; Connacht,ˈwɪɾʲə,mˠhɪɾʲi
Mháire,Connacht,ˈwɑːɾʲə,mʲçaiɾʲi
Mhí,,vʲiː,mʲçɪ
Micheál,,ˈmʲɪçaːlˠ,mʲɪcçəl̪
