word,tags,ipa,results
bhasa,Ulster; Connacht,ˈwasˠə,bˠhɑsˠə
bhearr,Munster; Connacht,vʲɑːɾˠ,bʲçæɾˠɾˠ
bheifeá,,ˈvʲɛhɑː,bʲçɛfʲi
bheirid,,ˈvʲɛɾʲədʲ,bʲçɛɾʲidʲ
bheith,,vʲɛ(h),bʲçɛtʲ
bhfaca,Connacht,ˈwɑkə,bˠhfˠɑkə
bhfear,,vʲaɾˠ,bˠhfʲæɾˠ
bhfeice,,ˈvʲɛcɪ,bˠhfʲɛci
bhfeicfinn,,,bˠhfʲɛcfʲən̠ʲ
bhfeicinn,,,bˠhfʲɛcən̠ʲ
bhfeictear,,ˈvʲɛctʲəɾˠ,bˠhfʲɛctʲəɾˠ
bhfichidí,Connacht,ˈvʲɪçɪdʲiː,bˠhfʲɪcçidʲi
bhfuair,Ulster; Connacht,"wuəɾʲ, wuɪ̯ɾʲ",bˠhfʲuaiɾʲ
bhfuiltear,Ulster; Connacht,ˈwɪl̠ʲtʲəɾʲ,bˠhfˠɪltʲəɾˠ
bhfáinne,Connacht,ˈwɑːn̠ʲə,bˠhfʲain̪n̪ə
bhris,,vʲɾʲɪʃ,bˠhɾʲɪʃ
bhriste,,ˈvʲɾʲɪʃtʲə,bˠhɾʲɪʃtʲi
bhróin,,"vˠɾˠoːnʲ, wɾˠoːnʲ",bˠhɾʲɔn̪
bhíos,,ˈvʲiːsˠ,bˠhɪsˠ
bhó,Connacht,woː,bˠhɔ
bile,,ˈbʲɪlʲə,bʲɪl̪ə
bithiúnta,Connacht,ˈbʲɪhuːn̪ˠt̪ˠə,bʲɪtʲçiən̪t̪ə
blais,,bˠlˠaʃ,bˠl̪aiʃ
bleacht,,bʲlʲaxt̪ˠ,bˠl̪ɑkht̪
bleidhmhíol,,ˈbʲlʲɛjvʲiːl̪ˠ,bˠl̪ɛdʲhmˠhəl̪
bleánach,Munster; Connacht,ˈbʲlʲaːn̪ˠəx,bˠl̪ɑn̪əx
bliain,,bʲlʲiənʲ,bˠl̪iəən̪
blian,,"bʲlʲiənˠ, bʲlʲiən̪ˠ",bˠl̪iən̪
bobaireacht,Munster; Connacht,ˈbˠɔbˠəɾʲəxt̪ˠ,bˠɛbʲiɾʲəkht̪
boc,,"bˠok, bˠɔk, bˠʌk",bˠʊk
boga,,ˈbˠɔɡə,bˠʊgə
bogha báistí,Connacht,ˈbˠau ˈbˠaːʃtʲiː,bˠʊghə bʲaiʃtʲi
bolcánach,Connacht,ˈbˠɔlˠkɑːnˠəx,bˠɔl̪kən̪əx
bpeata,,ˈbʲat̪ˠə,bpʲɑt̪ə
bpáistí,Connacht,ˈbˠɑːʃtʲiː,bpʲaiʃtʲi
braichlis,,ˈbˠɾˠaiç.lʲɪʃ,bɾʲaichl̪iʃ
breac,,bʲɾʲak,bɾʲɑk
breall,,bʲɾʲal̪ˠ,bɾʲɑl̪l̪
breithiúnais,Connacht,ˈbʲɾʲɛhuːnˠəʃ,bɾʲɛtʲçiən̪iʃ
breoim,Munster; Connacht,bʲɾʲoːmʲ,bɾʲoːimʲ
breoite,Munster; Connacht,ˈbʲɾʲoːtʲə,bɾʲoːitʲi
bricfásta,,ˈbʲɾʲɪcfˠɑːsˠt̪ˠə,bɾʲɪcfˠəsˠt̪ə
brod,,bˠɾˠod̪ˠ,bˠɾˠɔd̪
broic,,bˠɾˠɪc,bɾʲɛc
bruach,Ulster; Munster; Connacht,bˠɾˠuəx,bˠɾˠɔəx
bruscar,,ˈbˠɾˠʊsˠkəɾˠ,bˠɾˠɔsˠkəɾˠ
bréig,,bʲɾʲeːɟ,bɾʲɛɟ
bród,,ˈbˠɾˠoːd̪ˠ,bˠɾˠɔd̪
bróga,Connacht,ˈbˠɾˠoːɡiː,bˠɾˠʊgə
buachalán,Connacht,"ˈbˠuəxəlˠɑːnˠ, ˈbˠuəxəl̪ˠɑːn̪ˠ",bˠuakhəl̪ən̪
buail,,"bˠuəlʲ, bˠɔlʲ",bʲuaəl̪
buail an t-iarann te,,bˠuəlʲ ə tʲiəɾˠən̪ˠ tʲɛ,bʲuaəl̪ ɑn̪ tiəɾˠən̪ˠ tʲɛ
buailte,,ˈbˠuəl̠ʲtʲə,bʲuaəltʲi
buailteacha,,ˈbˠuəlʲtʲəxə,bʲuaəltʲəkhə
bualadh,,ˈbˠɔl̪ˠə,bˠual̪ə
buanfas,Connacht,ˈbˠuənˠfˠəsˠ,bˠuan̪fˠəsˠ
buataisí,,ˈbˠuət̪ˠəʃiː,bˠuatʲiʃi
buin,,bˠɪnʲ,bˠɪn̪
buinne,,ˈbˠɪn̠ʲə,bˠɪn̪n̪ə
buntús,,ˈbˠunˠ.ˈtˠuːsˠ,bˠɔn̪t̪əsˠ
bus,,bˠʊsˠ,bˠɔsˠ
bá,Munster; Connacht,bˠɑː,bˠɑ
bácáil,Connacht,ˈbˠɑːkɑːlʲ,bˠɑcəl̪
bádóir,Connacht,ˈbˠɑːd̪ˠoːɾʲ,bˠɑdʲiɾʲ
báid,Munster; Connacht,bˠɑːdʲ,bʲaidʲ
báite,Munster; Connacht,ˈbˠɑːtʲə,bʲaitʲi
bánaigh,Connacht,"ˈbˠɑːnˠə, ˈbˠɑːn̪ˠə",bˠʊn̪iː
bás,Munster; Connacht,bˠɑːsˠ,bˠɑsˠ
béic,,bʲeːc,bʲɛc
bím,Munster; Connacht,bʲiːmʲ,bʲiːmʲ
bó,Munster; Connacht,bˠoː,bˠɔ
bóithrín,Connacht,ˈbˠoːhɾʲiːnʲ,bʲɛtʲhɾʲən̪
búistéara,,ˈbˠuːʃtʲeːɾˠə,bˠɪʃtʲəɾˠə
caibléara,,"ˈkabʲəlʲeːɾˠə, ˈkɑbʲlʲeːɾˠə",caibʲl̪əɾˠə
cailleach,Connacht,ˈkal̠ʲəx,cail̪l̪əx
cailín,Connacht,ˈkalʲiːnʲ,cail̪ən̪
caisearbhán,Connacht,ˈkaʃəɾˠwaːn̪ˠ,caiʃəɾˠbˠhən̪
