bhlas	vˠlˠasˠ
chapaill	ˈxapˠəlˠ
óstach	ˈoːsˠt̪ˠəx
speisialta	ˈʃpʲɛʃiəl̪ˠt̪ˠə
bádóra	ˈbˠɑːd̪ˠoːɾˠə
gcaoimhe	ˈɡiːvʲə
bosca	ˈbˠɔsˠkə
boladh	ˈbˠɔlˠə
thithe	ˈhɪhə
leithe	ˈlʲɛhə
calma	ˈkal̪ˠmˠə
spréach	ʃpʲɾʲeːx
miailíteas	ˈmʲiəlʲiːtʲəsˠ
smut	sˠmˠʊt̪ˠ
dealbhóir	ˈdʲal̪ˠwóɾʲ
Poncán	ˈpˠɔn̪ˠkɑːnˠ
phioc	ˈfʲjʊk
rinneas	ˈɾˠɪnʲəsˠ
tinneas	ˈtʲɪnʲəsˠ
amaid	ˈamˠədʲ
siúinéara	ˈʃúnʲeːɾˠə
buailte	ˈbˠuəl̪ʲtʲə
fréimhe	ˈfʲɾʲéiiːə
nílimid	ˈnʲiːlʲɪmʲɪdʲ
dóbair	ˈd̪ˠoːbˠəɾʲ
láidir	ˈlˠɑːdʲɪɾʲ
Shamhain	ˈhəuənʲ
Oíche Inide	ˌoiːçə ˈɪnʲədʲə
greannach	ˈɟɾʲan̪ˠəx
gámaí	ˈɡɑːmˠiː
mairstean	ˈmˠaɾˠʃtʲən̪ˠ
giúistís	ˈɟúʃtʲiːʃ
cáilíocht	ˈkɑːlʲiːçtʲ
póg	pˠoːɡ
Albain Nua	ˌalˠəbˠən̪ˠ ˈn̪ˠuə
tóg	t̪ˠoːɡ
teach ósta	tʲax ˈoːsˠt̪ˠə
chreid	çɾʲɛdʲ
smigead	ˈʃmʲɪɟəd̪ˠ
crithim	ˈcɾʲɪhəmʲ
n-áit	n̪ˠ-ɑːtʲ
pósaid	ˈpˠoːsˠədʲ
cróga	ˈkɾˠoːɡə
bróga	ˈbˠɾˠoːɡə
faca	ˈfˠakə
le do thoil	lʲə d̪ˠɔ ˈhɛlʲ
cú faoil	kuː ˈfˠiːlʲ
phinc	fʲɪn̠ʲc
maca	ˈmˠakə
searbhas	ˈʃaɾˠwəsˠ
Séamaisín	ˈʃeːmˠəʃiːnʲ
áinsí	ˈɑːn̪ʲʃiː
taca	ˈt̪ˠakə
gceist	ɟɛʃtʲ
rúin	ˈɾˠúnʲ
muirir	ˈmˠɪɾʲɪɾʲ
proifisiúnta	ˈpˠɾˠɛfʲəʃuːn̪ˠt̪ˠə
damnaím	ˈd̪ˠamˠn̪ˠəmʲ
teo	tʲoː
seo	ʃoː
reo	ɾˠoː
leatsa	ˈlʲat̪ˠsˠə
leo	lʲoː
tor	t̪ˠɔɾˠ
scréach	ʃcɾʲeːx
feo	fʲoː
múinte	ˈmˠún̪ʲtʲə
dráma	ˈd̪ˠɾˠɑːmˠə
ceo	coː
ollbhua	ˈɔlˠəvˠuə
cealla	ˈcalˠə
deimhin	ˈdʲeiiːənʲ
aoileach	ˈiːlʲəx
sligeán	ˈʃlʲɪɟeɑːnˠ
coileach	ˈkɛlʲəx
Dé Luain	dʲeː ˈlˠuənʲ
ghaoth	ɣiː
neascóid	ˈnʲasˠkódʲ
Iorua	ˈiəɾˠuə
bhíothas	ˈvʲiːhəsˠ
taoibh	t̪ˠiːvʲ
cuimil	ˈkɪmʲəlʲ
beachaire	ˈbʲaxəɾʲə
canúnach	ˈkan̪ˠuːn̪ˠəx
aidhmeannas	ˈɑːmʲən̪ˠəsˠ
cén	ceːnʲ
cuirir	ˈkɪɾʲɪɾʲ
leitean	ˈlʲɛtʲən̪ˠ
cloigín	ˈklˠɛɟiːnʲ
chuma	ˈxʊmˠə
formad	ˈfˠɔɾˠmˠəd̪ˠ
tógtar	ˈt̪ˠoːɡt̪ˠəɾˠ
potaisiam	ˈpˠɔt̪ˠəʃiəmˠ
aire	ˈaɾʲə
grúdaire	ˈɡɾˠuːd̪ˠəɾʲə
mire	ˈmʲɪɾʲə
péitseog	ˈpʲeːtʲʃoːɡ
achar	ˈaxəɾˠ
gcaogad	ˈɡiːɡəd̪ˠ
creig	cɾʲɛɟ
Cillian	ˈcɪlʲiən̪ˠ
Dochartach	ˈd̪ˠɔxəɾˠt̪ˠəx
fásaim	ˈfˠɑːsˠəmʲ
Danmhairge	ˈd̪ˠan̪ˠwəɾʲɟɪ
tuairim	ˈt̪ˠuəɾʲəmʲ
cheist	çɛʃtʲ
mhire	ˈvʲɪɾʲə
Gréigis	ˈɟɾʲeːɟɪʃ
Deirdre	ˈdʲɛɾʲədʲɾʲə
Polainnis	ˈpˠɔlˠən̪ˠəʃ
reicteam	ˈɾˠɛctʲəmˠ
ciseanna	ˈcɪʃən̪ˠə
n-oilfeadh	n̪ˠ-ˈɛl̠ʲfʲə
clogaid	ˈklˠɔɡədʲ
plaisteacht	ˈpˠlˠaʃtʲəxt̪ˠ
múin	ˈmˠúnʲ
tréigthe	ˈtʲɾʲeːcə
ghabhas	ˈɣəuəsˠ
frása	ˈfˠɾˠɑːsˠə
grása	ˈɡɾˠɑːsˠə
feiceáil	ˈfʲɛceɑːlʲ
ríoga	ˈɾˠiːɡə
de dheoin	dʲəˈjoːnʲ
iníon	ˈɪnʲiːnʲ
carraigín	ˈkaɾˠəɟiːnʲ
leigheas	ˈlʲɛjəsˠ
chuir i dtaisce	xɪɾʲ əˈd̪ˠaʃcɪ
donna	ˈd̪ˠʊn̪ˠə
lag	lˠaɡ
Latharna	ˈlˠahəɾˠn̪ˠə
chip	çɪpʲ
cime	ˈcɪmʲə
ceannaím	ˈcan̪ˠəmʲ
tochail	ˈt̪ˠɔxəlʲ
fíon dearg	fʲiːnʲ ˈdʲaɾˠəɡ
uimhreach	ˈɪvʲɾʲəx
siúinéaracht	ˈʃúnʲeːɾˠəxt̪ˠ
áras	ˈɑːɾˠəsˠ
crom	kɾˠɔmˠ
tuillidh	ˈt̪ˠɪlʲə
brách	bˠɾˠɑːx
toirte	ˈt̪ˠɔɾˠtʲə
tráthúil	ˈt̪ˠɾˠɑːhúlʲ
gráiniúil	ˈɡɾˠɑːnʲúlʲ
staid	sˠt̪ˠadʲ
gabhar	ˈɡəuəɾˠ
rinneabhair	ˈɾˠɪnʲəuəɾʲ
beannú	ˈbʲan̪ˠuː
naoi déag	n̪ˠiː dʲeːɡ
dóid	ˈd̪ˠódʲ
anraith	ˈan̪ˠɾˠə
róid	ˈɾˠódʲ
tuairisceoir	ˈt̪ˠuəɾʲɪʃcoːɾʲ
iógart	ˈioːɡəɾˠt̪ˠ
chítear	ˈçiːtʲəɾˠ
buachalla	ˈbˠuəxəlˠə
móid	ˈmˠódʲ
d'fhás	d̪ˠ'ˈɑːsˠ
uibheacha	ˈɪvʲəxə
dtiarna	ˈdʲiəɾˠn̪ˠə
leithid	ˈlʲɛhɪdʲ
ceapaire	ˈcapˠəɾʲə
bhliain	ˈvʲlʲiənʲ
Béarlóireacht	ˈbʲeːɾˠlˠóɾʲəxt̪ˠ
ochón	ˈɔxoːnˠ
feolta	ˈfʲoːl̪ˠt̪ˠə
trombón	ˈt̪ˠɾˠɔmˠəbˠoːnˠ
ruag	ɾˠuəɡ
fuip	fˠɪpʲ
cloisteála	ˈklˠɛʃtʲeɑːlˠə
