word,tags,ipa,results,match
ealaín,Connacht,ˈɑːlˠiːnʲ,ˈalʲaiːnʲ,67
ear,,aɾˠ,ˈɑːɾˠ,67
earc,,aɾˠk,ˈɑːrc,0
easpag,Connacht,"ˈæsˠpˠoːɡ, ˈaːsˠpˠək",ˈasˠpˠaɡ,75
easpag,Aran; Connacht,ˈæsˠpˠəɡ,ˈasˠpˠaɡ,75
eicínt,,"əˈciːn̠ʲtʲ, əˈciːn̠ʲtʲʃ",ˈɪc'iːnʲtʲ,80
eil,,ɛlʲ,ˈiːlʲ,67
eim,,ɛmʲ,ˈiːmʲ,67
ein,,ɛnʲ,ˈiːnʲ,67
eochair,,ˈɔxəɾʲ,ˈoːhaiɾʲ,33
fheadha,Munster; Connacht,ɑː,ˈai,0
fhear mhire,,aɾˠ ˈvʲiɾʲə,ˈɑːɾˠ ˈvʲɪɾʲɛ,73
fhearr,,aːɾˠ,ˈɑːɾˠ,75
fhiáin,Connacht,ˈiːɑːnʲ,ˈɪɑːnʲ,67
fhir,,ɪɾʲ,əiɾʲ,67
fhocal,Munster; Connacht,ˈɔkəl̪ˠ,ˈʊcalˠ,33
fhocal,Connacht,ˈɔkəlˠ,ˈʊcalˠ,50
fhréimh,,rʲeːvʲ,ˈɾʲeːiː,50
fhuaire,,ˈuəɾʲə,ˈʊaiɾʲɛ,50
fhuáil,,ˈuːaːlʲ,ˈʊɑːlʲ,50
fhéin,,heːnʲ,ˈeːnʲ,80
fíon geal,,ˌfʲiːnˠ ˈɟalˠ,ˈfʲiːʊnˠ ˈɟɑlˠ,85
fíon dearg,,ˌfʲiːnˠ ˈdʲaɾˠəɡ,ˈfʲiːʊnˠ ˈdʲæɾˠəɡ,88
gC,,"ɟ, ɡ",ˈɡ,50
gach uile,Aran; uncommon; Connacht,ˈxɯlʲə(corresponding to the form,ˈɡəx ˈɪlʲɛ,40
gach uile,Cois-Fharraige; Aran; Mayo; Connacht,ˈxilʲə,ˈɡəx ˈɪlʲɛ,50
gc,,"ɟ, ɡ",ˈɡ,50
gh,,"j, ɟ, ɣ",ɣ,100
ghair,,ɣaɾʲ,ˈjɑːɾʲ,50
ghaibh,,ɣavʲ,ˈjaɪvʲ,75
ghaiscíoch,Connacht,ˈɣaʃciːx,ˈjaiʃc'iːʊ,62
ghlais,,ɣlˠaʃ,ˈjlʲaiʃ,60
ghnách,Connacht,"ɡɾˠɑːx, ɣnˠɑːx",ˈɣnˠɑːx,86
ghním,Connacht,n̠ʲiːmʲ,ˈjnʲiːmʲ,92
ghníomhaíocht,Connacht,ˈɣɾˠiːwiəxt̪ˠ,ˈjnʲiːʊwɑːʊht̪ˠ,46
ghoib,,ɣɪbʲ,ˈjɛbʲ,50
ghoir,Connacht,ˈɣɛɾʲ,ˈjəiɾʲ,40
ghoirid,,ˈɣʌɾʲədʲ,ˈjɛɾʲɪdʲ,62
ghráin,Munster; Connacht,ɣɾˠɑːnʲ,ˈjɾʲɑːnʲ,71
gháire,Munster; Connacht,ˈɣɑːɾʲə,ˈjɑːɾʲɛ,71
gliú beach,,ˌɟlʲuː ˈbʲax,ˈɟlʲʊ ˈbʲəx,73
glúin óg,Munster; Connacht,ə ˌɣlˠuːnʲ ˈoːɡ,ˈɡlˠuːɪnʲ ˈoːɡ,81
gníomhaí,,ˈɡnʲiːwiː,ˈɟnʲiːʊvʲiː,67
gríos,,ɡɾʲɪsˠ,ˈɟɾʲiːʊsˠ,50
h,,h,ˈ,0
hIarmhí,Ulster; Munster; Connacht,ˌhiəɾˠˈvʲiː,ˈhiəɾʲvʲiː,80
hInis Meáin,,ˌhɪnʲəʃ ˈmʲɑːnʲ,ˈhɪnʲɪʃ ˈmʲɛɑːnʲ,87
i,,"ə, ɪ",ɪ,100
