tags,ipa,word
Connacht ,/ˈmˠɪɾʲiːnʲ/,muirín
Connacht ,/ˈbˠal̠ʲtʲəxiː/,bailteacha
Connacht ,/ˈabˠɾˠiəx/,abradh
Connacht ,/kiːx/,caoch
Connacht ,/ˈdʲɛɾˠfˠə/,dearfa
Connacht ,/ˈʃuːmˠɾˠə/,seomra
Connacht ; Munster ,/ˈkol̪ˠə/,codladh
Connacht ; Ulster ,/ˈbˠiːdʲa(x)/,bídeach
Connacht ,/ˈɛɾʲəd̪ˠ/,oiread
Connacht ; Ulster ,/fˠlˠa(h)/,flaith
Connacht ,/ˈbˠlɑsˠt̪ˠə/,blasta
Connacht ,/fˠɑːn̪ˠ/,faigheann
Connacht ,/ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː/,Droichead Nua
Connacht ,/ˈanʲəmʲnʲəxiː/,ainmneacha
Connacht ,/ʃæːn̪ˠ/,sean
Connacht ,,baineadh
Connacht ,/ˈsˠasˠən̪ˠəx/,Sasanach
Connacht ; Ulster ,/ˈiçəmˠ/,ithim
Connacht ,/ˈt̪ˠaxt̪ˠuː/,tachtadh
Connacht ,/ɡo l̠ʲeh/,gabh i leith
Connacht ; ,/lʲəmˠ/,liom
Connacht ,/sˠl̪ˠɑːn̪ˠ ˈkɔl̪ˠət̪ˠ aːd/,slán codlata agat
Connacht ,/ˈt̪ˠoːɟɑːlʲ/,tóigeáil
Connacht ,/ɡɔbˠ/,gob
Connacht ,/pˠɾˠɔˈfʲɛʃun̪ˠt̪ˠə/,proifisiúnta
Connacht ,/ˈiːsˠt̪ˠə/,aosta
Connacht ; Munster ,/ɾˠoːd̪ˠ/,ród
Connacht ,/ˈpˠɪʃiːnʲ/,puisín
Connacht ,/ˈɡl̪ˠuəʃəmʲ/,gluaisim
Connacht ,/ˈkidʲəxt̪ˠə/,cuideachta
Connacht ; Ulster ,[ɛə̯ɡ],éag
Connacht ; Ulster ,/ɡl̪ˠasˠ/,glas
Connacht ,/bˠɾˠuːn̪ˠ/,brón
Connacht ; Munster ,/ˈmˠahəvˠ/,maitheamh
Connacht ,/tʲæxt̪ˠ/,teacht
Connacht ; Munster ,/dʲiːl̪ˠ/,díol
Connacht ; Ulster ,/ˈsˠiːɾˠə/,saora
Connacht ,/clʲæxt̪ˠ/,cleacht
Connacht ,/ˈɞɾˠəpˠsˠən/,orthusan
Connacht ,/ˈkiːnʲuː/,caoineadh
Connacht ,/ˈsˠɪmʲuːlʲ/,suimiúil
Connacht ,/ˈʃiːnʲəx/,síneadh
Connacht ; Ulster ,/bʲɾʲeːɡ/,bréag
Connacht ,/ˈæɾʲiːmʲ/,airím
Connacht ,/ˈeːcoːl̪ˠiː/,éiceolaí
Connacht ,/bˠɾˠʊ/,bruith
Connacht ,/bˠəuɾˠdʲ/,boird
Connacht ,/mˠoː/,mó
Connacht ,/d̪ˠiː/,di
Connacht ; Connacht ,/ˈdʲiːwɑːl̪ˠəx/,díobhálach
Connacht ; Ulster ; ,/ˈkɾˠuəxənˠ/,cruachan
Connacht ,/ˈd̪ˠaŋənˠ/,daingean
Connacht ,/ˈsˠt̪ˠɔpˠuː/,stopadh
Connacht ; Munster ,[ˈiːnʲʃɪ],inse
Connacht ,/ˈɾˠiəwiː/,riabhaí
Connacht ,[ˈcæːɾˠkə],cearca
Connacht ; Munster ,/oːlˠ/,eol
Connacht ,/ˈmˠal̪ˠə/,mallaigh
Connacht ,/ˈdʲeːn̪ˠiː/,déanaí
Connacht ,/ˈt̪ˠiːd̪ˠoːɾʲ/,tuíodóireacht
Connacht ; Ulster ,/t̪ˠɾˠuː/,tnúth
Connacht ,/t̪ˠuːmˠ/,tom
Connacht ,/ɡliːxəmʲ/,glaoim
Connacht ,/iːvˠ/,aomh
Connacht ; ,/ˈd̪ˠɞɾˠəʃ/,dorais
Connacht ,/ˈfˠɑlə/,fala
Connacht ,/ˌkaipʲ ˈwɑːʃ/,caidhp bháis
Connacht ; Connacht ; Ulster ,/bʲɾʲɛ/,breith
Connacht ; Munster ,/sˠl̪ˠɑːmˠ/,slám
Connacht ,/kaul̪ˠ/,coll
Connacht ,/ˈɾˠɛbʲɑːɾˠd̪ˠ/,Roibeárd
Connacht ; Munster ,/coːx/,ceoch
Connacht ,/ˈdʲiːn̠ʲeːɾˠ/,dínnéar
