,word,sounds,tags_
4828,cor,"[{""tags"": [""Munster""], ""ipa"": ""/kɞɾˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/kʌɾˠ/""}]",[]
4961,con,"[{""ipa"": ""/kɔnˠ/""}]",[]
4966,casa,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/ˈkɑsˠə/""}, {""tags"": [""Connemara"", ""Mayo"", ""Ulster""], ""ipa"": ""/ˈkasˠə/""}]",[]
4967,casa,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/ˈkɑsˠə/""}, {""tags"": [""Connemara"", ""Mayo"", ""Ulster""], ""ipa"": ""/ˈkasˠə/""}]",[]
4973,neon,"[{""tags"": [""Munster""], ""ipa"": ""/ˈnʲoːn̪ˠ/""}, {""tags"": [""Connacht"", ""Ulster""], ""ipa"": ""/ˈn̠ʲoːnˠ/""}, {""tags"": [""Connacht"", ""Ulster""], ""ipa"": ""/ˈn̠ʲoːn̪ˠ/""}]",[]
4984,bus,"[{""ipa"": ""/bˠʊsˠ/""}, {""tags"": [""Aran""], ""ipa"": ""/bˠɞsˠ/""}]",[]
5008,dord,"[{""ipa"": ""/d̪ˠoːɾˠd̪ˠ/""}]",[]
5038,dord,"[{""ipa"": ""/d̪ˠoːɾˠd̪ˠ/""}]",[]
5171,saor,"[{""tags"": [""Munster""], ""ipa"": ""/sˠeːɾˠ/""}, {""tags"": [""Connacht""], ""ipa"": ""/sˠiːɾˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/sˠiːɾˠ/""}, {""tags"": [""Ulster""], ""note"": ""older"", ""ipa"": ""/sˠɯːɾˠ/""}]",[]
5196,saor,"[{""tags"": [""Munster""], ""ipa"": ""/sˠeːɾˠ/""}, {""tags"": [""Connacht""], ""ipa"": ""/sˠiːɾˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/sˠiːɾˠ/""}, {""tags"": [""Ulster""], ""note"": ""older"", ""ipa"": ""/sˠɯːɾˠ/""}]",[]
5300,saor,"[{""tags"": [""Munster""], ""ipa"": ""/sˠeːɾˠ/""}, {""tags"": [""Connacht""], ""ipa"": ""/sˠiːɾˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/sˠiːɾˠ/""}, {""tags"": [""Ulster""], ""note"": ""older"", ""ipa"": ""/sˠɯːɾˠ/""}]",[]
5325,na,"[{""ipa"": ""/n̪ˠə/""}]",[]
5326,na,"[{""ipa"": ""/n̪ˠə/""}]",[]
5330,ar,"[{""ipa"": ""/ɛɾʲ/""}]",[]
5372,ga,"[{""ipa"": ""/ɡa/""}, {""tags"": [""Aran""], ""ipa"": ""/ˈɡɞhə/""}, {""tags"": [""Ulster""], ""ipa"": ""/ɡah/""}]",[]
5401,tar,"[{""ipa"": ""/t̪ˠaɾˠ/""}]",[]
5537,Th,"[{""ipa"": ""/h/""}]",[]
5538,am,"[{""tags"": [""Munster""], ""ipa"": ""/aumˠ/""}, {""tags"": [""Galway""], ""ipa"": ""/ɑːmˠ/""}, {""tags"": [""Galway""], ""ipa"": ""/amˠ/""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/amˠ/""}]",[]
5575,am,"[{""ipa"": ""/əmˠ/""}]",[]
5585,Bh,"[{""ipa"": ""/w/""}, {""other"": ""/vʲ/""}]",[]
5591,pis,"[{""ipa"": ""/pʲɪʃ/""}]",[]
5615,bia,"[{""ipa"": ""/bʲiə/""}]",[]
5635,bia,"[{""ipa"": ""/bʲiə/""}]",[]
5640,acht,"[{""tags"": [""Munster""], ""ipa"": ""/ɑxt̪ˠ/""}, {""tags"": [""Connacht"", ""Ulster""], ""ipa"": ""/axt̪ˠ/""}]",[]
5659,acht,"[{""tags"": [""Munster""], ""ipa"": ""/ɑx/""}, {""tags"": [""Connacht"", ""Ulster""], ""ipa"": ""/ax/""}]",[]
5660,acht,"[{""tags"": [""Munster""], ""ipa"": ""/ɑx/""}, {""tags"": [""Connacht"", ""Ulster""], ""ipa"": ""/ax/""}]",[]
5836,ea,"[{""ipa"": ""/a/""}, {""note"": ""after ba"", ""ipa"": ""/ja/""}]",[]
5918,sine,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/ˈʃɪnʲə/""}, {""tags"": [""Ulster""], ""ipa"": ""/ˈʃɪn̠ʲə/""}, {""homophone"": ""sinne (Ulster)""}]",[]
5919,sine,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/ˈʃɪnʲə/""}, {""tags"": [""Ulster""], ""ipa"": ""/ˈʃɪn̠ʲə/""}, {""homophone"": ""sinne (Ulster)""}]",[]
5968,sail,"[{""ipa"": ""/sˠalʲ/""}]",[]
6028,fan,"[{""ipa"": ""/fˠanˠ/""}]",[]
6193,fail,"[{""ipa"": ""/fˠalʲ/""}]",[]
6218,beach,"[{""ipa"": ""/bʲax/""}]",[]
6245,ola,"[{""ipa"": ""/ˈɔlˠə/""}]",[]
6270,litre,"[{""ipa"": ""/ˈl̠ʲitʲɾʲə/""}]",[]
6271,sí,"[{""ipa"": ""/ʃiː/""}, {""homophone"": ""síth (“peace”)""}]",[]
6292,sí,"[{""ipa"": ""/ʃiː/""}, {""homophone"": ""síth (“peace”)""}]",[]
6309,altar,"[{""ipa"": ""[ˈal̪ˠ.t̪ˠəɾˠ]""}]",[]
6315,ach,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/ɑx/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/ax/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""[aːx]""}, {""tags"": [""Mayo""], ""ipa"": ""/ax/""}, {""tags"": [""Ulster""], ""ipa"": ""/ax/""}, {""tags"": [""Ulster""], ""ipa"": ""/ah/""}, {""homophone"": ""each""}]",[]
