Raeta-Rómáinsis	ˈɾˠeːt̪ˠə-ɾˠoːmˠɑːn̪ʲʃəʃ
leomh	lʲoː
seomraí	ˈʃoːmˠɾˠiː
-ann	-aːn̪ˠ
toighe	ˈt̪ˠɛjə
bréidín	ˈbʲɾʲeːdʲiːnʲ
táille	ˈt̪ˠɑːlˠə
rúin	ˈɾˠúnʲ
bhróga	ˈwɾˠoːɡə
díle	ˈdʲiːlʲə
slám	sˠlˠɑːmˠ
múin	ˈmˠúnʲ
fichidí	ˈfʲɪçədʲiː
spóla	ˈsˠpˠoːlˠə
buailte	ˈbˠuəl̪ʲtʲə
srúill	ˈsˠɾˠúlˠ
carbhat	ˈkaɾˠwət̪ˠ
uireasa	ˈɪɾʲəsˠə
bhFionlainn	ˈvʲiən̪ˠlˠən̪ˠ
spiorad	ˈʃpʲiəɾˠəd̪ˠ
gcailín	ˈɡalʲiːnʲ
fhiartha	ˈiəɾˠə
dochar	ˈd̪ˠɔxəɾˠ
dtaca	ˈd̪ˠakə
dhearnadar	ˈjaɾˠn̪ˠəd̪ˠəɾˠ
drama	ˈd̪ˠɾˠamˠə
sáil	sˠɑːlʲ
feidhmeannach	ˈfʲɛmʲən̪ˠəx
mímhúinte	ˈmʲiːún̪ʲtʲə
fhiacha	ˈiəxə
deasaigh	ˈdʲasˠə
lastoir	ˈlˠasˠt̪ˠəɾʲ
foirmiúlacht	ˈfˠɛɾʲmʲuːlˠəxt̪ˠ
ainrialaí	ˈan̪ʲɾʲiəlˠiː
Meicsiceo	ˈmʲɛcʃɪcoː
pasfhocal	ˈpˠasˠəkəlˠ
úlla	ˈuːlˠə
feadha	ˈfʲəiə
ghlún	lˠuːnˠ
imím	ˈɪmʲiːmʲ
linn	lʲɪnʲ
teachín	ˈtʲaçiːnʲ
dlaoi	d̪ˠlˠiː
ndiúc	ˈnʲuːk
suigh	sˠə
taosc	t̪ˠiːsˠk
ríomhleabhar	ˈɾˠiːvʲlʲəuəɾˠ
cuairt	ˈkuəɾˠtʲ
Gearóid	ˈɟaɾˠódʲ
tostad	ˈt̪ˠɔsˠt̪ˠəd̪ˠ
spórt	sˠpˠoːɾˠt̪ˠ
cé nach	ceːˈn̪ˠax
scar	sˠkaɾˠ
sinn	ʃɪnʲ
giúiré	ˈɟúɾʲeː
asaibhse	ˈasˠəvʲʃə
stádas	ˈsˠt̪ˠɑːd̪ˠəsˠ
dúin	ˈd̪ˠúnʲ
aighneas	ˈanʲəsˠ
oscar	ˈɔsˠkəɾˠ
mar an gcéanna	mˠəɾˠ ənˠ ˈɟeːnʲə
caith	ka
liom	lʲiəmˠ
n-áit	n̪ˠ-ɑːtʲ
máistreása	ˈmˠɑːʃtʲɾʲeɑːsˠə
ualach	ˈuəlˠəx
fuinneoig	ˈfˠɪnʲoːɟ
salach	ˈsˠalˠəx
murar	ˈmˠʊɾˠəɾˠ
deireanach	ˈdʲɛɾʲən̪ˠəx
thiocfainn	ˈhjʊkfˠən̪ˠ
maraigh	ˈmˠaɾˠə
osna	ˈɔsˠn̪ˠə
míosa	ˈmʲiːsˠə
píosa	ˈpʲiːsˠə
veigeatóir	vˈɛɟət̪ˠóɾʲ
spairt	sˠpˠɛɾˠtʲ
radhairc	ˈɾˠaiəɾʲc
sonrú	ˈsˠɔn̪ˠɾˠuː
feide	ˈfʲɛdʲə
abar	ˈabˠəɾˠ
mbaint	mˠan̪ʲtʲ
buidéal	ˈbˠɪdʲeːlˠ
cloinne	ˈklˠɪnʲə
t-os	t̪ˠ-ɔsˠ
n-os	n̪ˠ-ɔsˠ
brac	bˠɾˠak
taga	ˈt̪ˠaɡə
Fhrainc	ɾˠan̪ʲc
ghlactaí	ˈlˠakt̪ˠiː
buidéil	ˈbˠɪdʲeːlʲ
comharsa	ˈkəuəɾˠsˠə
aigéad	ˈaɟeːd̪ˠ
is éigean	əsˠ ˈeːɟən̪ˠ
ús	uːsˠ
maidineacha	ˈmˠadʲənʲəxə
huaireanta	ˈhuəɾʲən̪ˠt̪ˠə
almanag	ˈal̪ˠmˠən̪ˠəɡ
talamh	ˈt̪ˠalˠəu
gualainn	ˈɡuəlˠən̪ˠ
ndolaí	ˈn̪ˠɔlˠiː
bheanna	ˈvʲan̪ˠə
gloiní	ˈɡlˠɪnʲiː
mbíos	mʲiːʃ
tóir	ˈt̪ˠóɾʲ
murlán	ˈmˠʊɾˠlˠɑːnˠ
bheinn	vʲɛnʲ
gaige	ˈɡaɟɪ
haige	ˈhaɟɪ
siúinéaraí	ˈʃúnʲeːɾˠiː
mól	mˠoːlˠ
glóire	ˈɡlˠóɾʲə
luaidhim	ˈlˠuəəmʲ
éadrócaireach	ˈeːd̪ˠɾˠoːkəɾʲəx
muna	ˈmˠʊn̪ˠə
cóir	ˈkóɾʲ
