,word,tags,ipa,results,match
5670,seachtainí,,ˈʃaxt̪ˠənʲiː,ˈsˠakht̪ˠainʲiː,0.875
5671,seachtar,,ˈʃaxt̪ˠəɾˠ,ˈsˠakht̪ˠaɾˠ,1.0
5672,seachtó,,ˈʃaxt̪ˠoː,ˈsˠakht̪ˠoː,1.0
5684,sealg,Ulster; Munster; Connacht,ˈʃal̪ˠəɡ,ˈsˠalɡ,1.0
5686,sealga,Ulster; Munster; Connacht,ˈʃal̪ˠəɡə,ˈsˠalɡa,0.8333333333333334
5696,seanbhean,Cois-Fharraige; Ulster; Connacht,ˈʃæːn̪ˠˌvʲæːn̪ˠ,ˈsˠanvʲanˠ,1.0
5700,seanduine,Ulster; Connacht,ˈʃan̪ˠinʲə,ˈsˠanˠɪnˠɛ,1.0
5703,seangaire,,"ˈʃanˠəɡəɾʲə, ˈʃan̪ˠəɡəɾʲə",ˈsˠanɡaiɾʲɛ,0.875
5707,seanmóir,Mayo; Connacht,ˈʃanˠəmˠəɾʲ,ˈsˠanˠmˠoːɾʲ,0.8571428571428572
5706,seanmóir,Galway; Connacht,ˈʃanˠəmˠoːɾʲ,ˈsˠanˠmˠoːɾʲ,0.8571428571428572
5716,seasamh,Munster; Connacht,ˈʃasˠəvˠ,ˈsˠasˠɑu,0.8
5742,seol,Connacht,ʃoːlˠ,ˈsˠoːlˠ,1.0
5744,seolaim,Munster; Connacht,ˈʃoːl̪ˠəmʲ,ˈsˠoːlˠaimˠ,0.8333333333333334
5751,sh,,h,ç,0.0
5752,shagart,,ˈhaɡəɾˠt̪ˠ,ˈçaɡaɾˠt̪ˠ,0.8333333333333334
5753,shalach,Connacht,ˈhal̪ˠəx,ˈçalˠəx,0.8
5754,shaoil,Ulster; Connacht,hiːlʲ,ˈçiːlʲ,0.6666666666666667
5755,sheabhac,Munster; Connacht,hauk,ˈçəuak,0.8
5756,sheaicéad,Connacht,ˈhaceːd̪ˠ,ˈçaiceːad̪ˠ,0.5714285714285714
5757,sheal,,"ˈhalˠ, ˈhal̪ˠ",ˈçɑlˠ,1.0
5758,sheamra,,ˈhamˠɾˠə,ˈçɑmˠɾˠa,1.0
5759,shean,,hanˠ,ˈçɑnˠ,1.0
5760,sheisear,,ˈhɛʃəɾˠ,ˈçɛʃæɾˠ,1.0
5763,shil,Munster; Connacht,hɪlʲ,ˈçiːlʲ,1.0
5764,shinsir,Ulster; Connacht,ˈhɪn̠ʲʃəɾʲ,ˈçɪnʲʃɪɾʲ,1.0
5765,shir,,hɪɾʲ,ˈçəiɾʲ,0.75
5768,shleamhain,Ulster; Connacht,ˈ(h)lʲãuwənʲ,ˈçlʲɛmʲKɾʲ_AmˠHAVOCɪnʲ,0.7142857142857143
5769,shleamhna,,"ˈ(h)lʲãunˠə, ˈ(h)lʲãun̪ˠə",ˈçlʲɑunˠa,0.8333333333333334
5770,shleamhnaigh,,"ˈ(h)lʲãunˠi, ˈ(h)lʲãunˠə, ˈ(h)lʲãun̪ˠi, ˈ(h)lʲãun̪ˠə, ˈ(h)lʲəunˠiː, ˈ(h)lʲəun̪ˠiː",ˈhlʲəun̪ˠə,1.0
5771,shloinne,,ˈ(h)l̪ˠɪn̠ʲə,ˈçlˠɔn̠ʲɛ,0.8
5772,shléibhe,Ulster; Connacht,ˈ(h)lʲeːvʲə,ˈçlʲeːmʲKɾʲ_IBH_VOCAlˠ'IZInˠ'G_Enˠ'DInˠ'Gɛ,0.8333333333333334
5773,shlí,Ulster; Connacht,ˈ(h)l̠ʲiː,ˈçlʲiː,1.0
5774,shlíoc,,(h)lʲiːk,ˈçlʲiːʊk,0.8
5775,shneachta,,"ˈ(h)nʲaxt̪ˠə, ˈ(h)nʲãxt̪ˠə",ˈhnˠakht̪ˠa,1.0
5776,shnua,,"(h)n̪ˠuː, (h)n̪ˠuːə",ˈçnˠua,0.75
5777,shnámh,Munster; Connacht,hn̪ˠɑːvˠ,ˈçnˠɑːv,0.75
5778,shníomh,Ulster; Connacht,(h)nʲiːw,ˈçnʲiːmʲKɾʲ_OVOCmˠFInˠ,0.75
5779,sholas,Ulster; Connacht,ˈhɔlˠəsˠ,ˈçʊlˠasˠ,0.8
5780,shrathnaigh,,"ˈ(h)ɾˠahnˠiː, ˈ(h)ɾˠahn̪ˠiː, ˈ(h)ɾˠʌhnˠi, ˈ(h)ɾˠʌhnˠə, ˈ(h)ɾˠʌhn̪ˠi, ˈ(h)ɾˠʌhn̪ˠə",ˈçɾˠaçnmʲKɾʲ_SUFFIX_IGH,0.6666666666666667
5781,shráid,Munster; Connacht,hɾˠɑːdʲ,ˈçɾˠɑːdʲ,0.75
5782,shróna,,"ˈ(h)ɾˠoːnˠə, ˈ(h)ɾˠoːn̪ˠə",ˈçɾˠoːnˠa,0.8
5784,shuigh,Ulster; Connacht,hiː,ˈçuiː,0.5
5785,shuí,,hiː,ˈçuiː,0.5
5786,shá,Munster; Connacht,hɑː,ˈçɑː,0.5
5787,shábháil,Connacht,ˈhɑːwɑːlʲ,ˈçɑːwmʲKɾʲ_SUFFIX_AAlˠ'J,0.8
5788,shé,,heː,ˈçeː,1.0
5789,shéabra,,ˈheːbˠɾˠə,ˈçeːabˠɾˠa,0.8333333333333334
5790,shéabraí,,ˈheːbˠɾˠiː,ˈçeːabˠrmʲKɾʲ_SUFFIX_A_II,0.8333333333333334
5791,shéan,,heːnˠ,ˈçeːanˠ,0.75
5792,shéid,,heːdʲ,ˈçeːdʲ,1.0
5793,shíl,,hiːlʲ,ˈçiːlʲ,1.0
5794,shín,,hiːnʲ,ˈçmˠKɾˠ_SUFFIX_IInˠ'J,1.0
5795,shíníomar,Connacht,ˈhiːnʲiːmˠəɾˠ,ˈçiːnʲiːʊmˠaɾˠ,0.875
5796,shíolmhar,Ulster; Connacht,"ˈhiːlˠwəɾˠ, ˈhiːl̪ˠwəɾˠ",ˈçiːʊlˠwaɾˠ,0.8571428571428572
5797,shúil,,huːlʲ,ˈçmʲKɾʲ_SUFFIX_UUlˠ'J,0.6666666666666667
5895,sneachta,,"ˈʃnʲaxt̪ˠə, ˈʃnʲãxt̪ˠə",ˈsˠnˠakht̪ˠa,1.0
5896,sneachtúil,Connacht,ˈʃnʲaxt̪ˠuːlʲ,ˈsˠnˠakhtmʲKɾʲ_SUFFIX_UUlˠ'J,1.0
5986,srian,Munster; Connacht,ʃɾʲiən̪ˠ,ˈsˠɾˠiənˠ,1.0
5994,sréin,,"sˠɾˠeːnʲ, ʂ(ɽ)eːnʲ",ˈʃɾʲeːnʲ,1.0
6009,stiall,,ʃtʲiəl̪ˠ,ˈsˠt̪ˠiəl̪ˠ,1.0
6010,stiúideo,,ˈʃtʲuːdʲioː,ˈsˠt̪ˠuidʲoː,0.6666666666666667
6037,stéic,,ˈʃtʲeːc,ˈsˠt̪ˠeːc,0.75
6038,stéig,,ˈʃtʲeːɟ,ˈsˠt̪ˠeːɡ,1.0
6060,suíomh gréasáin,Connacht,ˌsˠiːw ˈɟɾʲeːsˠɑːnʲ,ˈsˠuiːmʲKɾʲ_OVOCmˠFInˠ ˈɡɾʲeːasˠɑːnʲ,0.7272727272727273
6230,teach pobail,Munster; Connacht,ˌtʲax ˈpˠɔbˠəlʲ,ˈtʲəx ˈpˠʊbˠailʲ,0.8888888888888888
6231,teach ósta,Munster; Connacht,ˌtʲax ˈoːsˠt̪ˠə,ˈtʲəx ˈoːsˠt̪ˠa,1.0
6236,teagasc,,"c, k",ˈtʲæɡask,0.16666666666666663
6260,teoiric chinnteoireachta,Connacht,ˌtʲoːɾʲəc ˈçɪn̠ʲtʲoːɾʲəxt̪ˠ,ˈtʲmˠKɾˠ_EOITɾʲIGOlˠ'nˠ'Gɾʲɪc ˈcçɪn̠ʲtʲmʲKɾʲ_SUFFIX_OIɾˠƏXTAaa,0.75
6266,th,,h,ç,0.0
6267,th',,h,ç',0.0
6268,thae,,heː,ˈçeː,0.5
6270,thair,,haɾʲ,ˈçɑːɾʲ,0.6666666666666667
6271,thairbhe,,ˈhaɾʲəvʲə,ˈçaiɾʲvʲɛ,0.6666666666666667
6272,thaire,,"ˈhaɾʲə, ˈhæɾʲə",ˈçaiɾʲɛ,0.75
6273,thairg,,ˈhaɾʲɪɟ,ˈçaiɾʲɡ,0.8
6274,thairsti,,"ˈhaɾˠʃtʲə, ˈhɑɾˠʃtʲə",ˈçaiɾʲʃtʲɪ,0.8333333333333334
6275,thairstise,,"ˈhaɾˠʃtʲəʃə, ˈhɑɾˠʃtʲəʃə",ˈçaiɾʲʃtʲɪʃɛ,0.875
6276,thais,,haʃ,ˈçaiʃ,0.6666666666666667
6277,thapa,,ˈhapˠə,ˈçapˠa,0.75
6278,thar,,haɾˠ,ˈçɑːɾˠ,0.6666666666666667
6279,thar lear,,haɾˠˈl̠ʲaɾˠ,ˈçɑːɾˠ ˈlʲɑːɾˠ,0.8333333333333334
6280,thar sáile,Munster; Connacht,haɾˠ ˈsˠɑːlʲə,ˈçɑːɾˠ ˈsˠɑːlʲɛ,0.8571428571428572
6281,tharainn,,"ˈhaɾˠən̠ʲ, ˈhɑɾˠən̠ʲ",ˈçaɾˠamˠKɾˠ_SUFFIX_Inˠ'nˠ'_VEɾʲB,0.6
6282,tharainne,,"ˈhaɾˠən̠ʲə, ˈhɑɾˠən̠ʲə",ˈçaɾˠain̠ʲɛ,0.6666666666666667
6283,tharam,,"ˈhaɾˠəmˠ, ˈhɑɾˠəmˠ",ˈçaɾˠamˠ,0.8
6284,tharamsa,,"ˈhaɾˠəmˠsˠə, ˈhɑɾˠəmˠsˠə",ˈçaɾˠamˠsˠa,0.8571428571428572
6285,tharla,Munster; Connacht,ˈhɑːɾˠl̪ˠə,ˈçaɾˠlˠa,0.8
6286,tharra,,ˈhaɾˠə,ˈçaɾˠa,0.75
6287,thart,,"haɾˠt̪ˠ, hɑɾˠt̪ˠ",ˈçɑːɾˠt̪ˠ,0.75
6288,tharta,,ˈhaɾˠt̪ˠə,ˈçaɾˠt̪ˠa,0.8
6289,the,,hɛ,ˈçɛ,1.0
6290,theach,,hax,ˈçəx,1.0
6292,thearn,,haːɾˠn̪ˠ,ˈçɑːɾˠnˠ,1.0
6293,theas,,hasˠ,ˈçɑsˠ,1.0
6295,thiar,,hiəɾˠ,ˈçiəɾˠ,1.0
6296,thiarna,,ˈhiəɾˠn̪ˠə,ˈçiəɾˠnˠa,1.0
6297,thig,,hiɟ,ˈçɪɡ,1.0
6298,thigh,Ulster; Connacht,hiː,ˈçiː,1.0
6299,thine,,ˈhɪnʲə,ˈçɪnʲɛ,1.0
6300,thinn,Connacht,hiːn̠ʲ,ˈçmˠKɾˠ_SUFFIX_Inˠ'nˠ'_VEɾʲB,1.0
6302,thiocfainn,,hʊkən̠ʲ,ˈçɪkfˠamˠKɾˠ_SUFFIX_Inˠ'nˠ'_VEɾʲB,0.7142857142857143
6304,thiocfá,,ˈhʊkfˠɑː,ˈçɪkfˠɑː,1.0
6305,thit,,hitʲ,ˈçɪtʲ,1.0
6306,thithe,,ˈhɪhɪ,ˈçmʲKɾʲ_SUFFIX_IHƏ_GEnˠ',1.0
6307,thlig,,hlʲɪɟ,ˈçlʲɪɡ,1.0
6308,thláith,Connacht,(h)lˠɑː,ˈçlˠɑːç',0.6666666666666667
6309,thoiligh,Connacht,ˈhɛlʲiː,ˈçɛlʲmʲKɾʲ_SUFFIX_IGH,0.75
6310,thoir,,"heɾʲ, hɨɾʲ",ˈçəiɾʲ,0.6666666666666667
6311,thoirt,,hɔɾˠtʲ,ˈçəiɾʲtʲ,0.75
6312,thor,,hɔɾˠ,ˈçɔɾˠ,0.6666666666666667
6313,thorann,Munster; Connacht,ˈhɔɾˠən̪ˠ,ˈçʊɾˠən̪ˠ,0.8
6314,thraochta,Ulster; Connacht,ˈhɾˠiːxt̪ˠə,ˈçɾˠiːkht̪ˠa,0.8333333333333334
6315,thraoith,,ˈhɾˠiː,ˈçɾˠiːç',0.6666666666666667
6316,threabh,Connacht,ˈ(h)ɾʲəu,ˈçɾʲəu,1.0
6317,threo,Munster; Connacht,hɾʲoː,ˈçɾʲoː,1.0
6318,thriall,,hɾʲiəl̪ˠ,ˈçɾʲiəl̪ˠ,1.0
6319,throsc,,hɾˠɔsˠk,ˈçɾˠʊsk,0.8
6320,thrá,Munster; Connacht,hɾˠɑː,ˈçɾˠɑː,0.6666666666666667
6321,thráigh,Connacht,hɾˠɑː,ˈçɾˠɑːiː,0.6666666666666667
6322,thréig,,hɾʲeːɟ,ˈçɾʲeːɡ,1.0
6323,thrí,,hɾʲiː,ˈçɾʲiː,1.0
6324,thua,,huə,ˈçua,0.6666666666666667
6325,thuairim,,ˈhuəɾʲəmʲ,ˈçʊaiɾʲɪmʲ,0.8333333333333334
6326,thuama,,ˈhuəmˠə,ˈçuamˠa,0.8
6327,thuas,,huəsˠ,ˈçuasˠ,0.75
6328,thug,Munster; Connacht,ˈhuɡ,ˈçʊɡ,0.6666666666666667
6329,thugainn,,ˈhʊɡən̠ʲ,ˈçʊɡamˠKɾˠ_SUFFIX_Inˠ'nˠ'_VEɾʲB,0.6
