t-ógánach	t̪ˠ-ˈoːɡɑːn̪ˠəx
Bearna	ˈbʲaɾˠn̪ˠə
otharlann	ˈɔhəɾˠlˠən̪ˠ
bain	bˠanʲ
stop	sˠt̪ˠɔpˠ
scagtha	ˈsˠkakə
gheibh	jɛvʲ
scéala	ˈʃceːlˠə
seacláid	ˈʃaklˠɑːdʲ
i m'ainneoin	əmˠ'ˈan̪ˠoːnʲ
choil	xɛlʲ
muileann	ˈmˠɪlʲən̪ˠ
gcead	ɟad̪ˠ
dearna	ˈdʲaɾˠn̪ˠə
farraigí	ˈfˠaɾˠəɟiː
thuama	ˈhuəmˠə
naíonta	ˈn̪ˠiːən̪ˠt̪ˠə
Catalóin	ˈkat̪ˠəlˠónʲ
tóireacha	ˈt̪ˠóɾʲəxə
ropa	ˈɾˠɔpˠə
goidtear	ˈɡɛdʲtʲəɾˠ
dainséar	ˈd̪ˠan̪ʲʃeːɾˠ
fichid	ˈfʲɪçɪdʲ
céilíoch	ˈceːlʲiː
-sa	-sˠa
bútarach	ˈbˠuːt̪ˠəɾˠəx
múinteoir	ˈmˠún̪ʲtʲoːɾʲ
slám	sˠlˠɑːmˠ
glinn	ɟlʲɪnʲ
chead	çad̪ˠ
bruig	bˠɾˠɪɟ
fuarán	ˈfˠuəɾˠɑːnˠ
míreanna	ˈmʲiːɾʲən̪ˠə
ionad	ˈiən̪ˠəd̪ˠ
buarán	ˈbˠuəɾˠɑːnˠ
piachán	ˈpʲiəxɑːnˠ
cá mhéad	kɑːˈvʲeːd̪ˠ
éanacha	ˈeːn̪ˠəxə
stá	sˠt̪ˠɑː
glic	ɟlʲɪc
cé mhéad	ceːˈvʲeːd̪ˠ
gloiní	ˈɡlˠɪnʲiː
heich	hɛç
beich	bʲɛç
fichidí	ˈfʲɪçədʲiː
cearca	ˈcaɾˠkə
gáifeach	ˈɡɑːfʲəx
amha	ˈəuə
aoileach	ˈiːlʲəx
dúid	ˈd̪ˠúdʲ
aonad	ˈiːn̪ˠəd̪ˠ
tiománaí	ˈtʲjʊmˠɑːn̪ˠiː
coileach	ˈkɛlʲəx
bolcáin	ˈbˠɔl̪ˠkɑːnʲ
grámhar	ˈɡɾˠáiːəɾˠ
sheisear	ˈhɛʃəɾˠ
geairid	ˈɟaɾʲɪdʲ
abhras	ˈəuɾˠəsˠ
scoile	ˈsˠkɛlʲə
coise	ˈkɛʃə
dharna	ˈɣaɾˠn̪ˠə
bua	bˠuə
deachaigh	ˈdʲaxə
codanna	ˈkɔd̪ˠən̪ˠə
rochtain	ˈɾˠɔxt̪ˠənʲ
dua	d̪ˠuə
mustar	ˈmˠʊsˠt̪ˠəɾˠ
cén uair	ceːn̪ˠˈuəɾʲ
bhánaigh	ˈwɑːn̪ˠə
meabhair	ˈmʲəuəɾʲ
leabhair	ˈlʲəuəɾʲ
trasna	ˈt̪ˠɾˠasˠn̪ˠə
ceilpe	ˈcɛl̠ʲpʲə
pianann	ˈpʲiən̪ˠən̪ˠ
bréagán	ˈbʲɾʲeːɡɑːnˠ
isteach	ˈɪʃtʲəx
focla	ˈfˠɔklˠə
n-éidí	nʲ-ˈeːdʲiː
bhróga	ˈwɾˠoːɡə
rua	ɾˠuə
bhfíodóirí	ˈvʲiːd̪ˠóɾʲiː
dhúil	ˈɣúlʲ
a chairde	əˈxaɾʲədʲə
bhféar	vʲeːɾˠ
miosúir	ˈmʲiəsˠúɾʲ
riartha	ˈɾˠiəɾˠə
tua	t̪ˠuə
spaisteoireacht	ˈsˠpˠaʃtʲoːɾʲəxt̪ˠ
hime	ˈhɪmʲə
geasa	ˈɟasˠə
uiliteoir	ˈɪlʲɪtʲoːɾʲ
buaine	ˈbˠuənʲə
dialann	ˈdʲiəlˠən̪ˠ
bialann	ˈbʲiəlˠən̪ˠ
fiafheoil	ˈfʲiəoːlʲ
rúnaí	ˈɾˠuːn̪ˠiː
measa	ˈmʲasˠə
breá	ˈbʲɾʲeɑː
coirce	ˈkɛɾʲcɪ
