word,tags,ipa,results,match
Gaeilge na hÉireann,,"ˈɡeːlʲɟɪ nˠə ˈheːɾʲən̪ˠ, ˈɡeːlʲɟɪ n̪ˠə ˈheːɾʲən̪ˠ",ˈɡeːɪlʲɟɪ ˈnˠa ˈheːɾʲən̪ˠ,88
Gaeilic,,ˈɡeːlʲic,ˈɡeːɪlʲɪc,75
Gael,,"ɡeːlˠ, ɡeːl̪ˠ",ˈɡeːlʲ,67
Gaelach,Connacht,ˈɡeːlˠəx,ˈɡeːlʲəx,88
Gaelach,Munster; Connacht,ˈɡeːl̪ˠəx,ˈɡeːlʲəx,75
Gaeltacht,Munster; Connacht,ˈɡeːl̪ˠt̪ˠəxt̪ˠ,ˈɡeːlʲtʲɪxt̪ˠ,62
Garda,Munster; Connacht,ˈɡɑːɾˠd̪ˠə,ˈɡaɾˠd̪ˠə,78
Garda Síochána,Connacht,"ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːnˠə, ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːn̪ˠə",ˈɡaɾˠd̪ˠə ˈʃiːxɑːnˠə,90
Gardaí,Connacht,ˈɡɑːɾˠd̪ˠiː,ˈɡaɾˠd̪ˠiː,80
Gearmáinis,Connacht,ˈɟaɾˠəmˠɑːnʲɪʃ,ˈɟæɾˠmˠɑːnʲɪʃ,85
Gearóid,Connacht,ˈɟaɾˠoːdʲ,ˈɟæɾˠoːdʲ,89
Gh,,"j, ɟ, ɣ",ɣ,100
Ghaelach,Connacht,ˈɣeːlˠəx,ˈɣeːlʲəx,88
Ghaelach,Munster; Connacht,ˈɣeːl̪ˠəx,ˈɣeːlʲəx,75
Giúdach,Munster; Connacht,ˈɟuːd̪ˠəx,ˈɡuːd̪ˠəx,89
Gráinne,Connacht,ˈɡɾˠɑːn̠ʲə,ˈɡɾˠɑːn̠ʲə,100
Gréigis,,ˈɟɾʲeːɟɪʃ,ˈɟɾʲeːɟɪʃ,100
Haváis,,"haˈwaːɪʃ, ˈhawaːɪʃ",ˈhʊvɑːʃ,43
Iacób,,ˈiəkoːbˠ,ˈiəkoːbˠ,100
Iarmhí,Ulster; Connacht,əˌn̠ʲiəɾˠˈvʲiː,ˈiəɾʲvʲiː,78
