deice	ˈdʲɛcɪ
Araibis	ˈaɾˠəbʲəʃ
mól	mˠoːlˠ
goib	ɡɪbʲ
foréigean	ˈfˠɪɾʲeːɟən̪ˠ
ghealach	ˈjalˠəx
aitheantas	ˈahən̪ˠt̪ˠəsˠ
Síle	ˈʃiːlʲə
sómas	ˈsˠoːmˠəsˠ
bheanna	ˈvʲan̪ˠə
ain-	anʲ-
maighdean	ˈmˠadʲən̪ˠ
fear mire	fʲaɾʲ ˈmʲɪɾʲə
de	dʲə
n-ail	n̪ˠ-alʲ
bháisteach	ˈwɑːʃtʲəx
clocásach	ˈklˠɔkɑːsˠəx
le	lʲə
cúigiú	ˈkúɟuː
trí déag	tʲɾʲiː dʲeːɡ
mar ea	mˠəɾˠ ˈa
ciúine	ˈcúnʲə
tuirne	ˈt̪ˠɪɾʲnʲə
bácús	ˈbˠɑːkuːsˠ
diomaite	ˈdʲjʊmˠətʲə
bríste	ˈbʲɾʲiːʃtʲə
ceolmhar	ˈcoːl̪ˠwəɾˠ
is fuath le	əsˠ ˈfˠuəh lʲə
ae	eː
cabhantar	ˈkəuən̪ˠt̪ˠəɾˠ
tarlú	ˈt̪ˠaɾˠlˠuː
altann	ˈɛl̠ˠt̪ˠən̪ˠ
siab	ˈʃiəbˠ
ciardhuibhe	ˈciəɾˠɣəvʲə
ch	x
ur-	ʊɾˠ-
mh	vˠ
deoise	ˈdʲoːʃə
cardáil	ˈkaɾˠəd̪ˠɑːlʲ
Sh	h
Máirín	ˈmˠɑːɾʲiːnʲ
bh	vˠ
breoiteacht	ˈbʲɾʲoːtʲəxt̪ˠ
sneachta	ˈʃnʲaxt̪ˠə
sicín	ˈʃɪciːnʲ
dreolán	ˈdʲɾʲoːlˠɑːnˠ
spioraid	ˈʃpʲiəɾˠədʲ
Ch	x
leifteanant	ˈlʲɛfʲtʲən̪ˠən̪ˠt̪ˠ
caobach	ˈkiːbˠəx
Ph	fˠ
Mh	vˠ
critic	ˈcɾʲɪtʲɪc
caitheann	ˈkahən̪ˠ
leon	lʲoːnˠ
neon	nʲoːnˠ
sráide	ˈsˠɾˠɑːdʲə
fágann	ˈfˠɑːɡən̪ˠ
deifir	ˈdʲɛfʲəɾʲ
aistritheoir	ˈaʃtʲɾʲəhoːɾʲ
cuirim	ˈkɪɾʲɪmʲ
tochail	ˈt̪ˠɔxəlʲ
bpáiste	ˈbˠɑːʃtʲə
gearbach	ˈɟaɾˠəbˠəx
bhacach	ˈwakəx
díog	dʲiːɟ
caife	ˈkafʲə
mheabhair	ˈvʲəuəɾʲ
cúrsa	ˈkuːɾˠsˠə
monarcacht	ˈmˠɔn̪ˠəɾˠkəxt̪ˠ
bearn	bʲaɾˠn̪ˠ
gairid	ˈɡaɾʲɪdʲ
Indiacha	ˈɪnʲədʲiəxə
-ann	-aːn̪ˠ
choscair	ˈxɔsˠkəɾʲ
má	mˠɑː
amadáin	ˈamˠəd̪ˠɑːnʲ
pá	pˠɑː
