deice	ˈdʲɛcɪ
foshruth	ˈfˠɔhɾˠə
peictiúr	ˈpʲɛctʲuːɾˠ
Nc	n̪ˠk
arú	ˈaɾˠuː
teifeach	ˈtʲɛfʲəx
ndearnas	ˈnʲaɾˠn̪ˠəsˠ
leag	lʲaɡ
Gaedhlaing	ˈɟeːlˠəŋ
uigneacha	ˈɪɟnʲəxə
siúinéaracht	ˈʃúnʲeːɾˠəxt̪ˠ
faigh	fˠə
bhia	ˈvʲiə
láithreach stairiúil	ˌlˠɑːhɾʲəx ˈsˠt̪ˠaɾʲúlʲ
loin	lˠɪnʲ
féich	fʲeː
arraing	ˈaɾˠəŋ
cairéalaí	ˈkaɾʲeːlˠiː
bronntanas	ˈbˠɾˠʊn̪ˠt̪ˠən̪ˠəsˠ
dtaisce	ˈd̪ˠaʃcɪ
déad	dʲeːd̪ˠ
éadálach	ˈeːd̪ˠɑːlˠəx
dáil	d̪ˠɑːlʲ
beiridís	ˈbʲɛɾʲədʲiːʃ
éistim	ˈeːʃtʲɪmʲ
breac	bʲɾʲak
d'fhógair	d̪ˠ'ˈoːɡəɾʲ
fhiche	ˈɪçə
i measc	əˈmʲasˠk
dúidín	ˈd̪ˠúdʲiːnʲ
ná	n̪ˠɑː
feag	fʲaɡ
garraithe	ˈɡaɾˠəhə
mustar	ˈmˠʊsˠt̪ˠəɾˠ
dhíobháil	ˈjiːwɑːlʲ
áiféis	ˈɑːfʲeːʃ
beag	bʲaɡ
iníon	ˈɪnʲiːnʲ
Aodh	ə
muileann	ˈmˠɪlʲən̪ˠ
cá	kɑː
creidfead	ˈcɾʲɛdʲfʲəd̪ˠ
amaid	ˈamˠədʲ
Eabhrac	ˈəuɾˠək
sléibhe	ˈʃlʲeːvʲə
id	ɪdʲ
gá	ɡɑː
Dubhghus	ˈd̪ˠəuɣəsˠ
hairde	ˈhaɾʲədʲə
chéibh	çeːvʲ
India	ˈɪnʲədʲiə
thearn	haɾˠn̪ˠ
buataisí	ˈbˠuət̪ˠəʃiː
féad	fʲeːd̪ˠ
te	tʲɛ
-fidís	-ˈfʲɪdʲiːʃ
ainseabhaí	ˈan̪ʲʃəuiː
taithí	ˈt̪ˠahiː
piast	ˈpʲiəsˠt̪ˠ
sceacha	ˈʃcaxə
ard	aɾˠd̪ˠ
haoire	ˈhiːɾʲə
suaimhneach	ˈsˠuənʲəx
bhíonns	vʲiːn̠ʲʃ
méad	mʲeːd̪ˠ
réad	ɾˠeːd̪ˠ
séad	ʃeːd̪ˠ
Bhaile Átha Cliath	ˌwalʲə ɑːhə ˈclʲiə
héis	heːʃ
maraím	ˈmˠaɾˠəmʲ
fadó	ˈfˠad̪ˠoː
meán	ˈmʲeɑːnˠ
Coirnis	ˈkɛɾʲnʲəʃ
ndosanna	ˈn̪ˠɔsˠən̪ˠə
Eoraip	ˈoːɾˠəpʲ
acht	axt̪ˠ
chiall	ˈçiəlˠ
síofra	ˈʃiːfˠɾˠə
bochtaineacht	ˈbˠɔxt̪ˠənʲəxt̪ˠ
ghlac	lˠak
géagleabhair	ˈɟeːɟlʲəuəɾʲ
bhfís	vʲiːʃ
gruagach	ˈɡɾˠuəɡəx
fuáil	ˈfˠuɑːlʲ
Tiobraid Árann	ˌtʲiəbˠɾˠəd̪ˠ ˈɑːɾˠən̪ˠ
corrán	ˈkɔɾˠɑːnˠ
guthán	ˈɡʊhɑːnˠ
mbá	mˠɑː
tostar	ˈt̪ˠɔsˠt̪ˠəɾˠ
díslí	ˈdʲiːʃlʲiː
Deirdre	ˈdʲɛɾʲədʲɾʲə
fearann	ˈfʲaɾˠən̪ˠ
madra	ˈmˠad̪ˠɾˠə
airdí	ˈaɾʲədʲiː
hAlban	ˈhalˠəbˠən̪ˠ
cúig déag	ˌkúɟ dʲeːɡ
silín	ˈʃɪlʲiːnʲ
Spáinnis	ˈsˠpˠɑːn̪ˠəʃ
gléasann	ˈɟlʲeːsˠən̪ˠ
seisreach	ˈʃɛʃɾʲəx
doirt	d̪ˠɔɾˠtʲ
fheadh	ɪ
gráigh	ɡɾˠə
craiceann	ˈkɾˠacən̪ˠ
treo	tʲɾʲoː
dhearg	jaɾˠɡ
grian-	ˈɟɾʲiən̪ˠ-
léiriú	ˈlʲeːɾʲuː
móinteach	ˈmˠón̪ʲtʲəx
caighdeánach	ˈkadʲeɑːn̪ˠəx
Ceanada	ˈcan̪ˠəd̪ˠə
ursa	ˈʊɾˠsˠə
éastras	ˈeːsˠt̪ˠɾˠəsˠ
diamant	ˈdʲiəmˠən̪ˠt̪ˠ
churach	ˈxʊɾˠəx
ullamh	ˈʊlˠəu
Sheoirse	ˈhoːɾˠʃə
goilliúnach	ˈɡɛlʲuːn̪ˠəx
aigéan	ˈaɟeːnˠ
glacann	ˈɡlˠakən̪ˠ
dreo	dʲɾʲoː
feiceanna	ˈfʲɛcən̪ˠə
caintím	ˈkan̪ʲtʲiːmʲ
feiceann	ˈfʲɛcən̪ˠ
eitim	ˈɛtʲɪmʲ
rop	ɾˠɔpˠ
cliath	ˈclʲiə
fhuilim	ˈɪlʲɪmʲ
shir	hɪɾʲ
cearnóga	ˈcaɾˠn̪ˠoːɡə
éadaigh	ˈeːd̪ˠə
arsa	ˈaɾˠsˠə
cupáin	ˈkʊpˠɑːnʲ
baol	bˠiːlˠ
dearnamar	ˈdʲaɾˠn̪ˠəmˠəɾˠ
ocht déag	ɔhtʲ dʲeːɡ
glaine	ˈɡlˠanʲə
dearóil	ˈdʲaɾˠólʲ
nn	n̪ˠ
nócha	ˈn̪ˠoːxə
diaidh	ˈdʲiə
meaits	ˈmʲatʲʃ
halla	ˈhalˠə
an	ənˠ
mhín	vʲiːnʲ
foighneach	ˈfˠɛnʲəx
breo	bʲɾʲoː
labhairt	ˈlˠəuəɾˠtʲ
Polainnis	ˈpˠɔlˠən̪ˠəʃ
bheo	vʲoː
shín	hiːnʲ
bod	bˠɔd̪ˠ
boga	ˈbˠɔɡə
dod	d̪ˠɔd̪ˠ
bheireas	ˈvʲɛɾʲəsˠ
bail	bˠalʲ
bearrtha	ˈbʲaɾˠə
croítí	ˈkɾˠoiːtʲiː
miailíteas	ˈmʲiəlʲiːtʲəsˠ
téigh	tʲɪ
aonbheannach	ˈiːn̠ʲvʲən̪ˠəx
cnáibe	ˈkɾˠɑːbʲə
fón	fˠoːnˠ
nod	n̪ˠɔd̪ˠ
matán	ˈmˠat̪ˠɑːnˠ
Bairbre	ˈbˠaɾʲəbʲɾʲə
goid	ɡɪdʲ
milseog	ˈmʲɪl̠ʲʃoːɡ
har	haɾˠ
áirím	ˈɑːɾʲiːmʲ
cá háit	kɑːˈhɑːtʲ
baois	bˠiːʃ
draíochta	ˈd̪ˠɾˠiːəxt̪ˠə
gorta	ˈɡɔɾˠt̪ˠə
bróige	ˈbˠɾˠóɟɪ
gliogaire	ˈɟlʲiəɡəɾʲə
ndiúc	ˈnʲuːk
boid	bˠɪdʲ
so	sˠɔ
Nollaigí	ˈn̪ˠɔlˠəɟiː
draig	d̪ˠɾˠaɟ
meá	ˈmʲeɑː
leá	ˈlʲeɑː
giúis	ˈɟúʃ
freagair	ˈfʲɾʲaɡəɾʲ
Árannach	ˈɑːɾˠən̪ˠəx
órga	ˈoːɾˠɡə
chruaidh	ˈxɾˠuə
n-óg	n̪ˠ-oːɡ
gciall	ˈɟiəlˠ
Alastar	ˈalˠəsˠt̪ˠəɾˠ
ghéig	jeːɟ
péinis	ˈpʲeːnʲəʃ
in éineacht le	ɪnʲ ˈeːnʲəçtʲ lʲə
sceach	ʃcax
troigh	t̪ˠɾˠɛ
feá	ˈfʲeɑː
tá brón orm	t̪ˠɑː bˠɾˠoːn̪ˠ ˈəɾˠmˠ
spáin	sˠpˠɑːnʲ
pian	ˈpʲiən̪ˠ
ceithre	ˈcɛhɾʲə
cúige	ˈkúɟɪ
mar an gcéanna	mˠəɾˠ ənˠ ˈɟeːnʲə
mharaigh	ˈwaɾˠə
íoglú	ˈiːɡlˠuː
freastal	ˈfʲɾʲasˠt̪ˠəlˠ
cúramach	ˈkuːɾˠəmˠəx
phearsa	ˈfʲaɾˠsˠə
sníomh	ʃnʲíoiː
gáir	ɡɑːɾʲ
fheicinn	ˈɛcɪnʲ
laistigh	ˈlˠaʃtʲə
dáir	d̪ˠɑːɾʲ
gairme	ˈɡaɾʲmʲə
éilím	ˈeːlʲiːmʲ
snáth	sˠn̪ˠɑː
dhi	jɪ
ghnách	n̪ˠɑːx
feachtas	ˈfʲaxt̪ˠəsˠ
circe	ˈcɪɾʲcɪ
láir	lˠɑːɾʲ
spás	sˠpˠɑːsˠ
geansaí	ˈɟan̪ˠsˠiː
feiceáil	ˈfʲɛceɑːlʲ
gabháilte	ˈɡəuɑːl̪ʲtʲə
banc fola	bˠan̪ˠk ˈfˠɔlˠə
fág	fˠɑːɡ
tógfar	ˈt̪ˠoːɡfˠəɾˠ
gníomh	ɟɾʲíoiː
dár	d̪ˠɑːɾˠ
geimhriúchán	ˈɟɛvʲɾʲuːxɑːnˠ
dreoilín	ˈdʲɾʲoːlʲiːnʲ
Muire	ˈmˠɪɾʲə
hár	hɑːɾˠ
geasa	ˈɟasˠə
buachalla	ˈbˠuəxəlˠə
abacas	ˈabˠəkəsˠ
lár	lˠɑːɾˠ
gearg	ɟaɾˠɡ
nár	n̪ˠɑːɾˠ
cliabhán	ˈclʲiəuɑːnˠ
leoga	ˈlʲoːɡə
gearach	ˈɟaɾˠəx
foclóirí	ˈfˠɔklˠóɾʲiː
sár	sˠɑːɾˠ
bhan	wan̪ˠ
ní ba	nʲiː bˠə
torainn	ˈt̪ˠɔɾˠən̪ˠ
bréagach	ˈbʲɾʲeːɡəx
huile	ˈhɪlʲə
gcuairteanna	ˈɡuəɾˠtʲən̪ˠə
plainc	pˠlˠan̪ʲc
tambóirín	ˈt̪ˠamˠəbˠóɾʲiːnʲ
garraí	ˈɡaɾˠiː
gairmiúil	ˈɡaɾʲmʲúlʲ
bleácach	ˈbʲlʲeɑːkəx
asaibhse	ˈasˠəvʲʃə
staid	sˠt̪ˠadʲ
bairille	ˈbˠaɾʲəlˠə
cruaim	ˈkɾˠuəmʲ
cheithre	ˈçɛhɾʲə
pheacaí	ˈfʲakiː
peacaí	ˈpʲakiː
tarrtháil	ˈt̪ˠaɾˠɑːlʲ
aerfort	ˈeːɾˠfˠəɾˠt̪ˠ
buicéad	ˈbˠɪceːd̪ˠ
suirí	ˈsˠɪɾʲiː
anraith	ˈan̪ˠɾˠə
deiseal	ˈdʲɛʃəlˠ
gaosán	ˈɡiːsˠɑːnˠ
cúl	kuːlˠ
faoinár	ˈfˠiːn̪ˠɑːɾˠ
tuathail	ˈt̪ˠuəhəlʲ
canúint	ˈkan̪ˠún̪ʲtʲ
chruinne	ˈxɾˠɪnʲə
céide	ˈceːdʲə
draíocht	ˈd̪ˠɾˠiːəxt̪ˠ
bíonn cluasa ar an gcoill	bʲiːnʲ klˠuəsˠə əɾˠ ənˠ ˈɡɛlʲ
dteach	dʲax
géibheann	ˈɟeːvʲən̪ˠ
chór	xoːɾˠ
urchar	ˈʊɾˠxəɾˠ
gafa	ˈɡafˠə
luibh	lˠɪvʲ
gamhain	ˈɡəuənʲ
go héag	ɡəˈheːɡ
gais	ɡaʃ
neosainn	ˈnʲoːsˠən̪ˠ
subh	sˠəu
slis	ʃlʲɪʃ
puisín	ˈpˠɪʃiːnʲ
duibh	d̪ˠɪvʲ
donasach	ˈd̪ˠɔn̪ˠəsˠəx
leantar	ˈlʲan̪ˠt̪ˠəɾˠ
síleachtáil	ˈʃiːlʲəxt̪ˠɑːlʲ
Samhain	ˈsˠəuənʲ
buana	ˈbˠuən̪ˠə
éilítear	ˈeːlʲiːtʲəɾˠ
basún	ˈbˠasˠuːnˠ
gnáth	ɡɾˠɑː
cén chaoi a bhfuil tú	ceːn̪ˠxiː əwʊlˠ ˈt̪ˠuː
n-uaireanta	n̪ˠ-ˈuəɾʲən̪ˠt̪ˠə
sara fada	ˌsˠaɾˠə ˈfˠad̪ˠə
anrud	ˈan̪ˠɾˠəd̪ˠ
chun	xʊn̪ˠ
cadán	ˈkad̪ˠɑːnˠ
n-éidí	nʲ-ˈeːdʲiː
plúchfaidh	ˈpˠlˠuːxfˠə
gach aon duine	ɡax iːn̪ˠ ˈd̪ˠɪnʲə
ascaille	ˈasˠkəlˠə
draid	d̪ˠɾˠadʲ
caithim	ˈkahɪmʲ
ón	oːnˠ
achoimre	ˈaxəmʲɾʲə
buairt	ˈbˠuəɾˠtʲ
cuairt	ˈkuəɾˠtʲ
gearrfar	ˈɟaɾˠfˠəɾˠ
cúirt	ˈkúɾˠtʲ
bhfeicfinn	ˈvʲɛcfʲən̪ˠ
fógair	ˈfˠoːɡəɾʲ
stróicthe	ˈsˠt̪ˠɾˠócə
bardasach	ˈbˠaɾˠəd̪ˠəsˠəx
ndé	nʲeː
siúnta	ˈʃuːn̪ˠt̪ˠə
ais	aʃ
fillim	ˈfʲɪlʲɪmʲ
chaill	xalˠ
béic	bʲeːc
cóireáil	ˈkóɾʲeɑːlʲ
stoic	sˠt̪ˠɪc
féinfhostaithe	ˈfʲeːn̪ˠəsˠt̪ˠəhə
lúib	ˈlˠúbʲ
fhreagair	ˈɾʲaɡəɾʲ
gaothrán	ˈɡiːhɾˠɑːnˠ
lean	lʲan̪ˠ
sochreidte	ˈsˠɔhɾʲədʲtʲə
simplí	ˈʃɪmʲpʲlʲiː
-san	-sˠan̪ˠ
rialacha	ˈɾˠiəlˠəxə
clúiteach	ˈklˠútʲəx
pháirc	fˠɑːɾʲc
dú-	d̪ˠuː-
shuí	ˈhuiː
gairleog	ˈɡaɾʲlʲoːɡ
feabhas	ˈfʲəuəsˠ
dul	d̪ˠʊlˠ
Roibeárd	ˈɾˠɛbʲeɑːɾˠd̪ˠ
gean	ɟan̪ˠ
Laois	lˠiːʃ
soilse	ˈsˠɛl̠ʲʃə
peitreal	ˈpʲɛtʲɾʲəlˠ
cheas	çasˠ
bhféar	vʲeːɾˠ
taga	ˈt̪ˠaɡə
haenna	ˈheːnʲə
as cosa i dtaca	asˠ ˌkɔsˠə əˈd̪ˠakə
bhán	wɑːnˠ
Connacht	ˈkʊn̪ˠəxt̪ˠ
cabhail	ˈkəuəlʲ
dhíbhse	ˈjiːvʲʃə
easpach	ˈasˠpˠəx
beo	bʲoː
déarfá	ˈdʲeːɾˠfˠɑː
feamainneach	ˈfʲamˠən̪ˠəx
imreas	ˈɪmʲɾʲəsˠ
béar	bʲeːɾˠ
beartach	ˈbʲaɾˠt̪ˠəx
cipín	ˈcɪpʲiːnʲ
fuinseog	ˈfˠɪn̠ʲʃoːɡ
féar	fʲeːɾˠ
píotsa	ˈpʲiːt̪ˠsˠə
rud	ɾˠʊd̪ˠ
big	bʲɪɟ
caolú	ˈkiːlˠuː
díotsa	ˈdʲiːt̪ˠsˠə
boige	ˈbˠɛɟɪ
fuadar	ˈfˠuəd̪ˠəɾˠ
daibhreas	ˈd̪ˠavʲɾʲəsˠ
Dé Sathairn	dʲeː ˈsˠahəɾʲnʲ
agaibhse	ˈaɡəvʲʃə
is fearr	əsˠ ˈfʲaːɾˠ
caithne	ˈkahnʲə
fead	fʲad̪ˠ
ciliméadar	ˈcɪlʲəmʲeːd̪ˠəɾˠ
dochreidte	ˈd̪ˠɔhɾʲədʲtʲə
eitleáin	ˈɛtʲlʲeɑːnʲ
nguí	ˈŋuiː
cead	cad̪ˠ
scéalaí	ˈʃceːlˠiː
ónarb	ˈoːn̪ˠəɾˠbˠ
tinte	ˈtʲɪn̠ʲtʲə
suipéar	ˈsˠɪpʲeːɾˠ
ríomhaire	ˈɾˠiːəɾʲə
mhéir	vʲeːɾʲ
frisnéiseach	ˈfʲɾʲɪʃnʲeːʃəx
drochmhúinte	ˈd̪ˠɾˠɔxwún̪ʲtʲə
dreach	dʲɾʲax
cosc	kɔsˠk
cadhnraí	ˈkain̪ˠɾˠiː
chantar	ˈxan̪ˠt̪ˠəɾˠ
maise	ˈmˠaʃə
bhrata	ˈvˠɾˠat̪ˠə
molta	ˈmˠɔl̪ˠt̪ˠə
fos	fˠɔsˠ
damhsaigh	ˈd̪ˠəusˠə
brúite	ˈbˠɾˠútʲə
chnáimh	xɾˠáiiː
ngeasa	ˈŋasˠə
ríthe	ˈɾˠiːhə
suigh	sˠə
Gaeil	ˈɟeːlʲ
crosáil	ˈkɾˠɔsˠɑːlʲ
bú	bˠuː
léinte	ˈlʲeːn̠ʲtʲə
gualann	ˈɡuəlˠən̪ˠ
dhiúca	ˈjuːkə
meirg	mʲɛɾʲɟ
thángthas	ˈhɪŋəsˠ
plás	pˠlˠɑːsˠ
fleá	ˈfʲlʲeɑː
meaingeal	ˈmʲaɲəlˠ
bhuí	ˈwuiː
tógaim	ˈt̪ˠoːɡəmʲ
giorria	ˈɟiəɾˠiə
grá mo chroí	ɡɾˠɑː mˠɔ ˈxɾˠoiː
cigilt	ˈcɪɟɪl̠ʲtʲ
ghuí	ˈɣuiː
tuile	ˈt̪ˠɪlʲə
ar buile	əɾˠˈbˠɪlʲə
mbó	mˠoː
caoga	ˈkiːɡə
mban	mˠan̪ˠ
gcaoimhe	ˈɡiːvʲə
feolta	ˈfʲoːl̪ˠt̪ˠə
bláith	bˠlˠɑː
chualabhair	ˈxuəlˠəuəɾʲ
úsáid	ˈuːsˠɑːdʲ
bean rialta	bʲanʲ ˈɾʲiəl̪ˠt̪ˠə
uireasach	ˈɪɾʲəsˠəx
hataí	ˈhat̪ˠiː
firéad	ˈfʲɪɾʲeːd̪ˠ
oidhre	ˈɛɾʲə
ar ais	əɾˠˈaʃ
póg mo thóin	pˠoːɡ mˠɔ ˈhónʲ
oscailte	ˈɔsˠkəl̪ʲtʲə
fíormhaith	ˈfʲiːɾˠwə
éisteacht	ˈeːʃtʲəxt̪ˠ
fine	ˈfʲɪnʲə
bunábhar	ˈbˠʊn̪ˠáiːəɾˠ
confach	ˈkɔn̪ˠfˠəx
cluiche	ˈklˠɪhə
shleamhain	ˈhlʲəuənʲ
fheileann	ˈɛlʲən̪ˠ
bun ribe	bˠɪnʲ ˈɾʲɪbʲə
thorann	ˈhɔɾˠən̪ˠ
duine fásta	ˌd̪ˠɪnʲə ˈfˠɑːsˠt̪ˠə
fiastalach	ˈfʲiəsˠt̪ˠəlˠəx
Beáltaine	ˈbʲeɑːl̪ˠt̪ˠənʲə
ciabh	ˈciəu
séid	ʃeːdʲ
téid	tʲeːdʲ
gruaim	ˈɡɾˠuəmʲ
fhaide	ˈadʲə
fhómhair	ˈoːəɾʲ
foirmle	ˈfˠɛɾʲmʲlʲə
coil	kɛlʲ
taoibh	t̪ˠiːvʲ
rinneadh	ˈɾˠɪnʲə
bhasa	ˈwasˠə
feicthe	ˈfʲɛcə
crosaire	ˈkɾˠɔsˠəɾʲə
seimint	ˈʃɛmʲən̪ʲtʲ
fuilid	ˈfˠɪlʲɪdʲ
deis	dʲɛʃ
fhiáin	ˈiɑːnʲ
céid	ceːdʲ
imeall	ˈɪmʲəlˠ
cábla	ˈkɑːbˠlˠə
bhuel	ˈwuəlʲ
airsean	ˈaɾˠʃən̪ˠ
facthas	ˈfˠakəsˠ
méid	mʲeːdʲ
daoibh	d̪ˠiːvʲ
gasúr	ˈɡasˠuːɾˠ
faighfeá	ˈfˠafʲeɑː
fuinneoig	ˈfˠɪnʲoːɟ
leithe	ˈlʲɛhə
inseoidh	ˈɪn̠ʲʃə
feoite	ˈfʲoːtʲə
ghlinne	ˈlʲɪnʲə
feilm	fʲɛl̠ʲmʲ
diabhal	ˈdʲiəuəlˠ
gairmiúlacht	ˈɡaɾʲmʲuːlˠəxt̪ˠ
Cóbh	koːvʲ
bristeacha	ˈbʲɾʲɪʃtʲəxə
reoiteog	ˈɾˠoːtʲoːɡ
bhfolach	ˈwɔlˠəx
sanasán	ˈsˠan̪ˠəsˠɑːnˠ
rúsc	ɾˠuːsˠk
ó dheas	oː ˈjasˠ
brád	bˠɾˠɑːd̪ˠ
grán	ɡɾˠɑːnˠ
poipín	ˈpˠɛpʲiːnʲ
pianann	ˈpʲiən̪ˠən̪ˠ
tsaoir	t̪ˠsˠiːɾʲ
luas	lˠuəsˠ
Fraincis	ˈfˠɾˠan̪ʲcɪʃ
Tuircis	ˈt̪ˠɪɾʲcɪʃ
leás	ˈlʲeɑːsˠ
fichidí	ˈfʲɪçədʲiː
baile mór	ˌbˠalʲə ˈmˠoːɾˠ
rotha	ˈɾˠɔhə
n-oileadh	n̪ˠ-ˈɛlʲə
duas	d̪ˠuəsˠ
cárb	kɑːɾˠbˠ
Chonnachta	ˈxʊn̪ˠəxt̪ˠə
Málta	ˈmˠɑːl̪ˠt̪ˠə
tosta	ˈt̪ˠɔsˠt̪ˠə
mam	mˠamˠ
hae	heː
gae	ɟeː
faoistine	ˈfˠiːʃtʲənʲə
nuall	n̪ˠuəlˠ
rámhaíocht	ˈɾˠáiːiːəxt̪ˠ
casair	ˈkasˠəɾʲ
ndomhan	ˈn̪ˠəuən̪ˠ
Críost	cɾʲiːʃtʲ
flaithiúlacht	ˈfˠlˠahuːlˠəxt̪ˠ
coirp	kɛɾʲpʲ
nae	nʲeː
pictiúir	ˈpʲɪctʲúɾʲ
ghliocacht	ˈlʲiəkəxt̪ˠ
damnaím	ˈd̪ˠamˠn̪ˠəmʲ
tapa	ˈt̪ˠapˠə
carbón	ˈkaɾˠəbˠoːnˠ
fosta	ˈfˠɔsˠt̪ˠə
beathaisnéisí	ˈbʲahəʃnʲeːʃiː
cnuimh	kɾˠə
Abúise	ˈabˠúʃə
poiblí	ˈpˠɛbʲlʲiː
gearraim	ˈɟaɾˠəmʲ
tseilg	tʲʃɛl̠ʲɟ
gheall	jaːlˠ
mapa	ˈmˠapˠə
talamh	ˈt̪ˠalˠəu
posta	ˈpˠɔsˠt̪ˠə
lapa	ˈlˠapˠə
rosta	ˈɾˠɔsˠt̪ˠə
eochair	ˈoːxəɾʲ
eitpheil	ˈɛtʲfʲəlʲ
bagairt	ˈbˠaɡəɾˠtʲ
marg	mˠaɾˠɡ
eisean	ˈɛʃən̪ˠ
eiscir	ˈɛʃcɪɾʲ
mhuirnín	ˈwɪɾʲnʲiːnʲ
pracar	ˈpˠɾˠakəɾˠ
fhéar	eːɾˠ
máilín	ˈmˠɑːlʲiːnʲ
ligeann	ˈlʲɪɟən̪ˠ
d'oileadh	d̪ˠ'ˈɛlʲə
giúistís	ˈɟúʃtʲiːʃ
a	ə
aosta	ˈiːsˠt̪ˠə
impí	ˈɪmʲpʲiː
cúinge	ˈkúɲə
garg	ɡaɾˠɡ
ng	ŋ
abhac	ˈəuək
gámaí	ˈɡɑːmˠiː
dáta	ˈd̪ˠɑːt̪ˠə
citeal	ˈcɪtʲəlˠ
ar son	əɾˠˈsˠɔn̪ˠ
saoiste	ˈsˠiːʃtʲə
eachtrán	ˈaxt̪ˠɾˠɑːnˠ
each	ax
dhiaidh	ˈjiə
gcurach	ˈɡʊɾˠəx
cruaidh	ˈkɾˠuə
slán	sˠlˠɑːnˠ
gnách	ɡɾˠɑːx
naíon	ˈn̪ˠiːən̪ˠ
dúthaigh	ˈd̪ˠuːhə
dhíotsa	ˈjiːt̪ˠsˠə
bléan	bʲlʲeːnˠ
seó	ˈʃeoː
tuigim	ˈt̪ˠɪɟɪmʲ
dúrabhair	ˈd̪ˠuːɾˠəuəɾʲ
gur	ɡʊɾˠ
bámhar	ˈbˠáiːəɾˠ
éagrábhadh	ˈeːɡɾˠáiːə
dúisigh	ˈd̪ˠúʃə
breoite	ˈbʲɾʲoːtʲə
uisce beatha	ˌɪʃcɪ ˈbʲahə
dreoite	ˈdʲɾʲoːtʲə
seanbhean	ˈʃan̪ʲvʲən̪ˠ
crogall	ˈkɾˠɔɡəlˠ
éileamh	ˈeːlʲəu
coillte	ˈkɛl̠ʲtʲə
bileogach	ˈbʲɪlʲoːɡəx
Ceatharlach	ˈcahəɾˠlˠəx
dtrátha	ˈd̪ˠɾˠɑːhə
bhfágáil	ˈwɑːɡɑːlʲ
tur	t̪ˠʊɾˠ
bheinn	vʲɛnʲ
clogad	ˈklˠɔɡəd̪ˠ
dhó	ɣoː
sligeán	ˈʃlʲɪɟeɑːnˠ
tuathal	ˈt̪ˠuəhəlˠ
héisc	heːʃc
bairneach	ˈbˠaɾʲnʲəx
rúnaí	ˈɾˠuːn̪ˠiː
seandaoine	ˈʃan̪ˠəd̪ˠiːnʲə
ngarda	ˈŋaɾˠəd̪ˠə
claon	klˠiːnˠ
-sa	-sˠa
Sionainn	ˈʃiən̪ˠən̪ˠ
fiartha	ˈfʲiəɾˠə
caisleán	ˈkaʃlʲeɑːnˠ
Sprantais	ˈsˠpˠɾˠan̪ˠt̪ˠəʃ
cuisneoir	ˈkɪʃnʲoːɾʲ
pearsanta	ˈpʲaɾˠsˠən̪ˠt̪ˠə
chugham	ˈxaiəmˠ
gcapall	ˈɡapˠəlˠ
mheas	vʲasˠ
sh	h
searbhas	ˈʃaɾˠwəsˠ
tigeann	ˈtʲɪɟən̪ˠ
bhrí	vʲɾʲiː
ainmhí	ˈan̪ʲvʲiː
ngor	ŋɔɾˠ
mháistreása	ˈwɑːʃtʲɾʲeɑːsˠə
shleamhna	ˈhlʲəun̪ˠə
miosúir	ˈmʲiəsˠúɾʲ
Dé Máirt	dʲeː ˈmˠɑːɾˠtʲ
meadhg	mʲɪɡ
fiúntas	ˈfʲuːn̪ˠt̪ˠəsˠ
riartha	ˈɾˠiəɾˠə
meilleog	ˈmʲɛlʲoːɡ
réama	ˈɾˠeːmˠə
cultúr	ˈkʊl̪ˠt̪ˠuːɾˠ
creidmheas	ˈcɾʲɛdʲvʲəsˠ
beannacht	ˈbʲan̪ˠəxt̪ˠ
súgartha	ˈsˠuːɡəɾˠə
mílte	ˈmʲiːl̠ʲtʲə
arán	ˈaɾˠɑːnˠ
clibín	ˈclʲɪbʲiːnʲ
spreagtha	ˈʃpʲɾʲakə
cailleach	ˈkalˠəx
-ófaí	-ˈoːfˠiː
Eanáir	ˈan̪ˠɑːɾʲ
bhfiche	ˈvʲɪçə
abhaile	ˈəuəlʲə
scríobhfaidh	ˈʃcɾʲiːwfˠə
alga	ˈalˠəɡə
chaol	xiːlˠ
molann	ˈmˠɔlˠən̪ˠ
dochma	ˈd̪ˠɔxmˠə
socair	ˈsˠɔkəɾʲ
Shligigh	ˈhlʲɪɟɪ
prátaí	ˈpˠɾˠɑːt̪ˠiː
suas	sˠuəsˠ
broic	bˠɾˠɪc
gadhar	ˈɡaiəɾˠ
fiúntach	ˈfʲuːn̪ˠt̪ˠəx
trasinscneach	ˈt̪ˠɾˠaʃən̪ʲʃcnʲəx
cupán	ˈkʊpˠɑːnˠ
caoine	ˈkiːnʲə
mall	mˠaːlˠ
Airméanach	ˈaɾʲmʲeːn̪ˠəx
las	lˠasˠ
móil	ˈmˠólʲ
daoine	ˈd̪ˠiːnʲə
tóraíocht	ˈt̪ˠoːɾˠiːəxt̪ˠ
feadóg	ˈfʲad̪ˠoːɡ
fút	fˠuːt̪ˠ
di	dʲɪ
croíthe	ˈkɾˠoiːhə
gluaisim	ˈɡlˠuəʃɪmʲ
fágtha	ˈfˠɑːkə
eallach	ˈalˠəx
osa	ˈɔsˠə
dtitinn	ˈdʲɪtʲən̪ˠ
Bh	vˠ
rinc	ɾˠən̪ʲc
lúbtha	ˈlˠuːpˠə
pinc	pʲɪn̠ʲc
ním	nʲiːmʲ
duitse	ˈd̪ˠɪtʲʃə
minc	mʲɪn̠ʲc
ót	oːt̪ˠ
aisteoir	ˈaʃtʲoːɾʲ
cúbtha	ˈkuːpˠə
guaillí	ˈɡuəlˠiː
iall	ˈiəlˠ
