word,tags,ipa
Claíomh Solais,,klˠiːvˠ ˈsˠɔl̪ˠəʃ
Cloch na Blarnan,Munster; Connacht,ˌklˠɔx n̪ˠə ˈbˠlˠɑːɾˠn̪ˠənˠ
Cloch na Blarnan,Ulster,ˌklˠʌx n̪ˠə ˈbˠlˠæːɾˠn̪ˠənˠ
Clocha Liatha,Ulster; Connacht,"n̪ˠə ˌklˠɔxə ˈl̠ʲiəhə, n̪ˠə ˌkl̪ˠɔxə ˈl̠ʲiəhə"
Clocha Liatha,Munster,"n̪ˠə ˌkl̪ˠɔxə ˈlʲiəhə, n̪ˠə ˌkl̪ˠɞxə ˈlʲiəhə"
Cléire,,ˈclʲeːɾʲə
Coirnis,,ˈkoːɾˠnʲɪʃ
Colm,,"ˈkɔlˠəmˠ, ˈkɔl̪ˠəmˠ"
Colm Cille,Ulster; Connacht,"ˌkɔlˠəmˈcɪl̠ʲə, ˌkɔl̪ˠəmˈcɪl̠ʲə"
Colm Cille,Munster,ˌkɔl̪ˠəmˈcɪlʲə
Colmán,Connacht,"ˈkɔlˠəmˠɑːnˠ, ˈkɔl̪ˠəmˠɑːn̪ˠ"
Colmán,Munster,kɔl̪ˠəˈmˠɑːn̪ˠ
Colmán,Ulster,"ˈkɔlˠəmˠanˠ, ˈkɔl̪ˠəmˠan̪ˠ"
Conamara,Galway,"konˠəˈmaɾˠə, ˌkun̪ˠəˈmaːɾˠə"
Conamara,Galway; Aran,kon̪ˠəˈmaɾˠə
Conamara,Galway; Cois-Fharraige,ˌkun̪ˠəˈmaɾˠə
Conchúir,Galway,"ˈknˠoxuːɾʲ, ˈkunˠəxəɾʲ"
Conchúir,Munster,"kɾˠoˈhuːɾʲ, kɾˠoˈxuːɾʲ ~ kɾˠəˈxuːɾʲ"
Conchúir,Ulster,"ˈkɾˠohəɾʲ ~ ˈkɾˠuhəɾʲ, ˈkɾˠʌhuɾʲ, ˈkɾˠʌ̃xəɾʲ"
Conchúr,Galway,"ˈknˠoxuːɾˠ, ˈkunˠəxəɾˠ"
Conchúr,Munster,"kɾˠoˈhuːɾˠ, kɾˠoˈxuːɾˠ ~ kɾˠəˈxuːɾˠ"
Conchúr,Ulster,"ˈkɾˠohəɾˠ ~ ˈkɾˠuhəɾˠ, ˈkɾˠʌhuɾˠ, ˈkɾˠʌ̃xəɾˠ"
Connacht,Connacht,ˈkʊn̪ˠəxt̪ˠ
Connacht,Munster,ˈkɔn̪ˠəxt̪ˠ
Connacht,Ulster,ˈkʌn̪ˠa(x)t̪ˠ
Connachta,Munster; Connacht,ˈkon̪ˠəxt̪ˠə
